galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms
UGC05986,1,0.63,3.13,1.88,2.5,0.35,2.0502753892255186,53.532946336351,65.62,2.6319999999999997,5,9.41,0.63,2.703808413193847,0.36984869013657656,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.532946336351
UGC05986,2,3.77,6.28,5.025,2.5100000000000002,0.35,2.015376207504578,72.79067351019327,113.0,3.068,5,9.41,0.63,2.703808413193847,0.36984869013657656,0.03489918172094075,0.9099544814101962,0.0012179528847912453,0.00110828168566227,0.002781787031012298,4.738185949674949e-10,4.8794860792010276e-05,72.79067351020963
UGC05986,3,6.9,9.41,8.155000000000001,2.51,0.35,2.008640924139031,59.828755730292514,111.6,4.101999999999999,5,9.41,0.63,2.703808413193847,0.36984869013657656,0.006735283365546962,0.9819539008943592,4.5364042014213616e-05,4.4545398016192664e-05,0.0028935959800329416,1.8713297257547156e-10,3.906493813322851e-05,59.82875573030527
