r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms,r_scale,sigma_scale
0.41,15.0,13.301372109673498,4.1,DDO168,10.41,8.28,0.0,548.7804878048781,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.073273072695132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.301372109673498,1.6986278903265024,1.6986278903265024,2.3074512826452187,0.43337859720861316
0.82,23.4,22.071746645881923,1.3,DDO168,18.08,12.66,0.0,667.7560975609756,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.073273072695132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.071746645881923,1.3282533541180754,1.3282533541180754,2.3074512826452187,0.43337859720861316
1.24,29.2,25.138022993067693,1.5,DDO168,20.09,15.11,0.0,687.6129032258065,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.073273072695132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.138022993067693,4.061977006932306,4.061977006932306,2.3074512826452187,0.43337859720861316
1.64,36.2,25.762765767673315,1.1,DDO168,20.2,15.99,0.0,799.0487804878051,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.073273072695132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.762765767673315,10.437234232326688,10.437234232326688,2.3074512826452187,0.43337859720861316
2.47,52.1,28.32203735609428,1.2,DDO168,22.63,17.03,0.0,1098.9514170040486,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.0230133684180864,0.050259704277045625,0.8905003180447876,0.0025260378740160783,0.0022494375302044966,0.003711571924837419,2.6165216291452904e-09,8.039159423713942e-05,28.322037356208376,23.777962643791625,23.77796264390572,2.3074512826452187,0.43337859720861316
2.89,52.9,28.554554803043242,1.7,DDO168,22.95,16.99,0.0,968.3079584775086,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.0230133684180864,0.050259704277045625,0.8905003180447876,0.0025260378740160783,0.0022494375302044966,0.003711571924837419,1.9112722318042773e-09,7.432076930383836e-05,28.55455480313996,24.345445196860037,24.345445196956756,2.3074512826452187,0.43337859720861316
3.3,54.8,28.506204587773517,2.2,DDO168,22.74,17.19,0.0,910.0121212121212,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.0230133684180864,0.050259704277045625,0.8905003180447876,0.0025260378740160783,0.0022494375302044966,0.003711571924837419,1.4658527830351244e-09,6.95508028998653e-05,28.506204587858363,26.293795412141634,26.29379541222648,2.3074512826452187,0.43337859720861316
3.71,55.0,28.488123841348344,2.5,DDO168,22.74,17.16,0.0,815.3638814016173,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.0230133684180864,0.050259704277045625,0.8905003180447876,0.0025260378740160783,0.0022494375302044966,0.003711571924837419,1.159766116727756e-09,6.559521547384363e-05,28.48812384142386,26.51187615857614,26.511876158651656,2.3074512826452187,0.43337859720861316
4.12,52.0,28.01935937882949,2.7,DDO168,22.74,16.37,0.0,656.3106796116505,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.0230133684180864,0.050259704277045625,0.8905003180447876,0.0025260378740160783,0.0022494375302044966,0.003711571924837419,9.40424215716167e-10,6.224586547515111e-05,28.01935937889863,23.98064062110137,23.98064062117051,2.3074512826452187,0.43337859720861316
