galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms
NGC2683,1,2.89,14.43,8.66,11.54,0.35,2.011652895387903,205.08057127289626,195.8,7.4,5,34.62,2.89,2.4831750476237224,0.4027102321912228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,205.08057127289626
NGC2683,2,17.31,34.62,25.964999999999996,17.31,0.35000000000000003,2.002976747247724,122.61999609272766,162.5,10.333333333333334,6,34.62,2.89,2.4831750476237224,0.4027102321912228,0.00867614814017914,0.9786860281581582,7.527554655033396e-05,7.367112567078089e-05,0.001275247185361217,8.135384327844362e-12,1.453393456956783e-05,122.61999609272853
