galaxy,matched_sparc_name,h_kpc_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
NGC2683,NGC2683,structure_2014_z0,2.89,189.0,222.856756011569,21.58,2.89,34.62,2.8799999999999994,2.9277361265952413,0.0,0.4027102321912228,1.0,8.571638826970906,24.686319821676204,1.2709519190767315e-05,0.006060570143255298,222.85675609397734,-33.85675609397734,33.85675609397734,1146.2799332070717
NGC2683,NGC2683,structure_2014_z0,5.77,212.0,238.81344350768867,21.58,2.89,34.62,2.8799999999999994,2.5197208080871,0.40801531850814143,0.4027102321912228,0.36306497800504095,2.3050969860026362,31.324999141363794,4.045832484039069e-06,0.0048316098179494405,238.81344355656458,-26.81344355656458,26.81344355656458,718.9607553610746
NGC2683,NGC2683,structure_2014_z0,8.66,206.0,205.3138022637543,21.58,2.89,34.62,2.8900000000000006,2.367774970334232,0.15194583775286796,0.4027102321912228,0.6857047668614502,3.8443066179971757,42.435045267375635,2.433085336335935e-06,0.0045902635014418505,205.31380231506728,0.686197684932722,0.686197684932722,0.4708672628070273
NGC2683,NGC2683,structure_2014_z0,11.54,200.0,191.9199512817779,21.58,2.89,34.62,2.879999999999999,2.285944071344905,0.08183089898932705,0.4027102321912228,0.8161146377106848,4.264639926587382,54.71720825594729,1.7667730619784804e-06,0.0045153694350774515,191.91995133489527,8.080048665104727,8.080048665104727,65.28718643046068
NGC2683,NGC2683,structure_2014_z0,14.43,172.0,166.49890329969145,21.58,2.89,34.62,2.8900000000000006,2.2338460663896855,0.052098004955219324,0.4027102321912228,0.8786501532414096,4.384524231075565,67.38848328375568,1.3916226067110583e-06,0.004481195623362204,166.4989033599955,5.501096640004505,5.501096640004505,30.262064242668853
NGC2683,NGC2683,structure_2014_z0,17.31,190.0,150.1313458275786,21.58,2.89,34.62,2.879999999999999,2.197783857618459,0.036062208771226345,0.4027102321912228,0.9143436651112625,4.4165120404535125,80.10803796026178,1.1496096873144649e-06,0.004460912876016901,150.13134589385305,39.86865410614695,39.86865410614695,1589.509580235588
NGC2683,NGC2683,structure_2014_z0,20.2,169.0,137.24746300023182,21.58,2.89,34.62,2.8900000000000006,2.171116843894706,0.02666701372375302,0.4027102321912228,0.9359260022326842,4.411719648599761,92.85790774471509,9.78553581272118e-07,0.0044459849686764325,137.2474630722433,31.752536927756694,31.752536927756694,1008.2236013485525
NGC2683,NGC2683,structure_2014_z0,23.08,150.0,127.01034170491788,21.58,2.89,34.62,2.879999999999999,2.1507003066854873,0.020416537209218877,0.4027102321912228,0.9505658541538503,4.396853583789103,105.5208460660277,8.517950488015447e-07,0.004433895547522477,127.0103417823109,22.989658217689097,22.989658217689097,528.5243849661598
NGC2683,NGC2683,structure_2014_z0,28.85,160.0,112.4125299955481,21.58,2.89,34.62,5.770000000000003,2.12131719213046,0.0293831145550274,0.4027102321912228,0.9296348383423753,4.183344342977317,129.65874292500683,6.698516435366452e-07,0.004396045941073889,112.4125300815048,47.5874699184952,47.5874699184952,2264.567293243686
NGC2683,NGC2683,structure_2014_z0,31.74,155.0,106.83666692666895,21.58,2.89,34.62,2.889999999999997,2.1103945783199407,0.010922613810519177,0.4027102321912228,0.973241757018567,4.334590342759313,142.18570901558124,6.068908066118095e-07,0.004388930872303508,106.83666701681925,48.16333298318075,48.16333298318075,2319.706644048747
NGC2683,NGC2683,structure_2014_z0,34.62,151.0,102.08162910142059,21.58,2.89,34.62,2.879999999999999,2.101234744934175,0.009159833385765648,0.4027102321912228,0.977511258341605,4.315895443307519,154.6154878923069,5.547116969024426e-07,0.004382250443181284,102.08162919548316,48.91837080451684,48.91837080451684,2393.0070021682054
