dataset,shell,n_shell,metric_col,obs_n_valid,obs_median,obs_q10,obs_q25,obs_q75,obs_q90,obs_var
6d,5-10,824,speed_total_proxy_kms_soft,824,343.6476315992652,189.6262624377701,263.0077337054636,434.13372195339946,534.0984546620709,19799.74727412438
6d,10-20,31,speed_total_proxy_kms_soft,31,645.6565740939456,366.13839670165066,443.61271496613836,753.5495885509695,957.8051909740433,82908.12333677658
6d,20-40,0,speed_total_proxy_kms_soft,0,,,,,,
6d,40-80,3,speed_total_proxy_kms_soft,3,3701.6584408216336,2571.2209682535918,2995.1350204666073,4340.334206447952,4723.539665823743,1811095.2847156005
6d,80+,0,speed_total_proxy_kms_soft,0,,,,,,
