_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,recno,Name,Band,RAJ2000,DEJ2000,PA,h,e_h,z0,e_z0,S0,e_S0,gradz0,mag,B/T,Type,RV,AName,NED,preferred_name,catalog_name_normalized,z0_over_h,h_over_z0,thickness_flag
103.38193719,-53.00118555,001.12373694,+08.07944000,000.48247834,+07.80112900,004.25918960,+06.96279251,57,EON_1.124_8.079,r,1.123737,8.07944,153.47,3.74,0.05,1.7,0.23,21.13,0.18,0.036,16.52,0.1,SB,,PGC1338462,NED,PGC1338462,PGC1338462,0.45454545454545453,2.2,thick_like
109.87649965,-36.00742226,001.16146194,+25.67527389,000.51879630,+25.39699347,011.85244041,+22.97010573,60,EON_1.161_25.675,r,1.161462,25.675274,18.3,4.16,0.24,1.37,0.15,21.24,0.26,0.101,16.28,0.11,SC,,PGC1745323,NED,PGC1745323,PGC1745323,0.3293269230769231,3.0364963503649633,thick_like
101.65833831,-56.43525848,001.25126000,+04.50651611,000.61020052,+04.22820867,002.94232527,+03.63668284,63,EON_1.251_4.507,r,1.25126,4.506516,121.09,8.01,0.16,1.12,0.08,22.77,0.21,-0.041,16.81,0.09,SB,,PGC090452,NED,PGC90452,PGC90452,0.13982521847690388,7.1517857142857135,intermediate
103.43719397,-53.65610893,001.35392000,+07.46462389,000.71256070,+07.18632981,004.22177665,+06.30809213,66,EON_1.354_7.465,r,1.35392,7.464624,29.58,4.29,0.05,1.29,0.08,21.31,0.18,0.008,16.67,0.09,SC,,,NED,NED,,0.30069930069930073,3.3255813953488373,thick_like
088.53069231,-69.69307862,001.37679611,-09.95033389,000.73699526,-10.22865401,357.26605848,-09.66862316,69,EON_1.377_-9.950,r,1.376796,-9.950334,13.27,5.91,0.1,1.33,0.15,22.64,0.22,-0.13,17.01,0.05,SD,16482.0,PGC984316,NED,PGC984316,PGC984316,0.22504230118443316,4.443609022556391,thick_like
096.59046825,-63.39055137,001.38109306,-02.89158889,000.74065186,-03.16989738,000.11585337,-03.20213625,72,EON_1.381_-2.892,r,1.381093,-2.891589,143.67,4.77,0.11,0.78,0.08,22.06,0.14,-0.059,16.83,0.09,SC,,PGC1080508,NED,PGC1080508,PGC1080508,0.16352201257861637,6.115384615384615,intermediate
104.11172157,-52.44893577,001.38551111,+08.73766611,000.74401497,+08.45937691,004.76428362,+07.46201613,75,EON_1.386_8.738,r,1.385511,8.737666,115.63,6.05,0.26,1.75,0.13,22.12,0.08,-0.09,16.14,0.08,SC,,PGC1352786,NED,PGC1352786,PGC1352786,0.2892561983471075,3.457142857142857,thick_like
086.75354599,-70.76735608,001.42720611,-11.18023694,000.78756850,-11.45855437,356.80705731,-10.81365687,78,EON_1.427_-11.180,r,1.427206,-11.180237,76.49,6.96,1.19,1.42,0.23,23.36,0.4,0.029,17.03,0.07,SC,11997.0,PGC968997,NED,PGC968997,PGC968997,0.20402298850574713,4.901408450704226,thick_like
089.73377959,-69.37321920,001.58284694,-09.46246694,000.94317079,-09.74076604,357.65391413,-09.30404298,81,EON_1.583_-9.462,r,1.582847,-9.462467,27.68,4.22,0.25,1.81,0.24,21.18,0.24,0.076,16.29,0.1,SC,16648.0,PGC990749,NED,PGC990749,PGC990749,0.4289099526066351,2.331491712707182,thick_like
106.76360244,-47.27336181,001.62205306,+14.18235389,000.97975852,+13.90409722,007.21210677,+12.34951865,84,EON_1.622_14.182,r,1.622053,14.182354,85.64,7.33,0.12,1.57,0.12,21.56,0.14,-0.065,15.8,0.06,SD,5325.0,PGC1451356,NED,PGC1451356,PGC1451356,0.21418826739427013,4.6687898089171975,thick_like
