dataset,shell,shell_center_kpc,n_shell,distance_median_shell_kpc,standard_vt_median_shell_kms,standard_vt_variance_shell,standard_vt_centered_variance_shell,standard_rv_median_shell_kms,standard_rv_variance_shell,standard_rv_centered_variance_shell,standard_speed_median_shell_kms,standard_speed_variance_shell,standard_speed_centered_variance_shell
5d,5-10,7.5,8610,7.411249411763444,138.2143582824848,19969.820666005413,19969.820666005417,,,,,,
5d,10-20,15.0,7593,13.407333278986368,210.72764814952183,30165.229927636065,30165.229927636065,,,,,,
5d,20-40,30.0,3458,26.33514087218088,359.07411908142234,91847.04710541131,91847.04710541131,,,,,,
5d,40-80,60.0,1512,53.13603355087021,645.1360130250531,241909.23611924233,241909.23611924233,,,,,,
5d,80+,100.0,1344,151.76345715691087,1971.1478897227826,603980010.5888257,603980010.5888257,,,,,,
