dataset,shell,shell_center_kpc,n_shell,distance_median_shell_kpc,standard_vt_median_shell_kms,standard_vt_variance_shell,standard_vt_centered_variance_shell,standard_rv_median_shell_kms,standard_rv_variance_shell,standard_rv_centered_variance_shell,standard_speed_median_shell_kms,standard_speed_variance_shell,standard_speed_centered_variance_shell
6d,5-10,7.5,824,6.061092597879844,308.64957649875566,21628.618264161803,21628.618264161803,6.188044548034668,22642.53536434946,22642.535364349456,343.6476315992652,19799.74727412438,19799.74727412438
6d,10-20,15.0,31,11.215767333402532,623.5158004175852,85883.21428244424,85883.21428244423,13.319314002990724,27716.683764323014,27716.683764323014,645.6565740939456,82908.12333677658,82908.12333677658
6d,20-40,30.0,0,,,,,,,,,,
6d,40-80,60.0,3,68.86601588185187,3701.566510974159,1803655.2431536857,1803655.243153685,26.08787727355957,22173.02315278407,22173.02315278407,3701.6584408216336,1811095.2847156005,1811095.2847156003
6d,80+,100.0,0,,,,,,,,,,
