r_kpc,v_obs,v_model
0.09,16.5,1889.1442830672763
0.27,38.5,1147.5882480747568
0.45,47.4,6.708203932499369e-07
0.63,55.5,7.937253933193772e-07
0.81,56.4,9.000000000000001e-07
0.99,59.8,9.9498743710662e-07
1.17,67.8,1.0816653826391966e-06
1.35,76.4,1.1618950038622251e-06
1.53,81.2,1.2369316876852982e-06
1.71,82.2,1.307669683062202e-06
1.89,82.6,1.374772708486752e-06
2.07,82.3,1.4387494569938158e-06
2.25,82.1,1.5e-06
2.67,81.4,1.6340134638368192e-06
3.15,79.3,1.7748239349298848e-06
3.61,78.5,1.9e-06
4.04,78.2,2.009975124224178e-06
4.49,78.1,2.118962010041709e-06
4.93,78.2,2.2203603311174514e-06
5.38,78.3,2.3194827009486404e-06
5.86,78.6,2.420743687382041e-06
6.28,78.9,2.5059928172283337e-06
6.74,79.5,2.596150997149434e-06
