r_kpc,v_obs,v_model
0.64,12.4,272.3835366469899
1.18,21.9,228.552073758543
1.8,32.3,170.5296430714184
2.03,37.9,150.1644468345147
2.78,53.1,148.9837287318132
3.0,62.4,104.76127655070285
3.64,68.0,85.18899136958227
4.19,78.0,2.046948949045872e-06
4.6,82.3,2.1447610589527217e-06
5.14,85.7,2.2671568097509265e-06
5.39,85.5,2.3216373532487797e-06
6.31,89.5,2.511971337416094e-06
9.1,95.2,3.0166206257996713e-06
10.17,97.5,3.189043743820395e-06
11.99,101.0,3.462657938636157e-06
14.02,107.0,3.744329045369811e-06
15.94,117.0,3.992492955535426e-06
17.98,120.0,4.2402830094228375e-06
