r_kpc,v_obs,v_model
1.95,32.0,88.13195139957368
3.88,57.6,1.9697715603592207e-06
5.83,70.9,2.414539293529927e-06
7.78,77.0,2.7892651361962705e-06
9.72,82.5,3.117691453623979e-06
11.66,84.3,3.4146742157927744e-06
13.59,83.9,3.686461718233352e-06
