r_kpc,v_obs,v_model
5.03,214.0,2.2427661492005802e-06
7.55,220.0,2.747726332806817e-06
10.07,235.0,3.1733263305244864e-06
12.58,235.0,3.5468295701936398e-06
15.1,230.0,3.885871845545089e-06
17.61,231.0,4.196427051671457e-06
20.13,232.0,4.486646854834911e-06
22.65,225.0,4.759201613716317e-06
25.16,224.0,5.015974481593781e-06
27.68,229.0,5.261178575186362e-06
30.2,218.0,5.495452665613634e-06
32.71,214.0,5.719265687131522e-06
35.23,213.0,5.935486500700679e-06
37.75,211.0,6.144102863722254e-06
40.26,217.0,6.345076831686122e-06
42.78,216.0,6.5406421703071324e-06
45.29,215.0,6.729784543356496e-06
47.81,217.0,6.914477565225011e-06
50.33,214.0,52.19550716485076
