r_kpc,v_obs,v_model
1.74,96.4,1465.5330058600123
3.5,157.0,1.8708286933869708e-06
5.24,192.0,2.2891046284519193e-06
6.98,201.0,2.6419689627245813e-06
8.72,201.0,2.9529646120466803e-06
10.47,194.0,3.2357379374726872e-06
12.19,190.0,3.491418050019218e-06
13.94,186.0,3.733630940518894e-06
15.68,184.0,3.959797974644666e-06
17.42,182.0,4.173727350941842e-06
19.16,181.0,4.377213725647857e-06
20.9,183.0,4.571651780264984e-06
22.65,185.0,4.759201613716317e-06
24.39,186.0,4.938623289946298e-06
26.13,186.0,5.111751167652823e-06
27.87,184.0,5.279204485526205e-06
29.61,185.0,5.441507144165116e-06
