r_kpc,v_obs,v_model
0.51,143.0,7.141428428542851e-07
0.69,160.0,8.306623862918074e-07
0.86,178.0,9.273618495495703e-07
1.03,188.0,1.0148891565092219e-06
1.2,187.0,1.095445115010332e-06
1.38,195.0,1.174734012447073e-06
1.55,199.0,1.2449899597988732e-06
1.71,203.0,1.307669683062202e-06
1.89,206.0,1.374772708486752e-06
2.06,211.0,1.4352700094407324e-06
2.23,219.0,1.4933184523068078e-06
2.41,216.0,1.5524174696260024e-06
2.58,214.0,1.606237840420901e-06
2.75,213.0,1.6583123951777e-06
2.92,210.0,1.7088007490635062e-06
3.09,214.0,1.7578395831246945e-06
3.26,213.0,1.8055470085267789e-06
3.43,212.0,1.8520259177452133e-06
3.61,215.0,1.9e-06
3.78,217.0,1.944222209522358e-06
3.95,219.0,1.987460691435179e-06
4.12,220.0,2.0297783130184437e-06
4.29,218.0,2.071231517720798e-06
4.46,220.0,2.1118712081942876e-06
4.64,220.0,2.1540659228538017e-06
4.81,216.0,2.193171219946131e-06
4.98,220.0,2.2315913604421397e-06
5.15,218.0,2.2693611435820434e-06
5.32,213.0,2.3065125189341593e-06
5.49,215.0,2.3430749027719963e-06
5.67,216.0,2.3811761799581313e-06
5.84,208.0,2.416609194718914e-06
6.01,212.0,2.4515301344262524e-06
6.19,213.0,2.4879710609249458e-06
6.35,216.0,2.51992063367083e-06
6.64,210.0,2.576819745345025e-06
8.82,210.0,2.9698484809834997e-06
11.07,210.0,3.327160951922825e-06
13.32,206.0,3.6496575181789317e-06
15.49,206.0,3.9357337308308856e-06
17.74,206.0,4.211887937730537e-06
