r_kpc,v_obs,v_model
0.32,24.4,5.656854249492381e-07
0.64,43.3,8e-07
0.96,45.5,9.797958971132711e-07
1.28,58.5,1.1313708498984761e-06
1.61,68.8,1.2688577540449521e-06
1.93,76.9,1.3892443989449805e-06
2.24,82.0,1.4966629547095765e-06
2.57,86.9,1.6031219541881397e-06
2.89,97.6,1.7e-06
3.21,100.0,811.0490590217903
3.54,107.0,1170.368235071969
3.85,113.0,1158.7108961093927
4.17,117.0,854.1776135684485
4.5,119.0,547.9068359573013
4.82,127.0,371.5941440579756
5.15,132.0,2.2693611435820434e-06
5.46,134.0,2.3366642891095844e-06
5.78,137.0,2.4041630560342617e-06
6.1,140.0,2.4698178070456936e-06
6.43,142.0,2.535744466621193e-06
6.74,144.0,2.596150997149434e-06
7.06,146.0,2.6570660511172846e-06
8.04,147.0,2.835489375751565e-06
9.04,148.0,3.0066592756745814e-06
10.04,152.0,3.1685959035509717e-06
11.04,155.0,3.3226495451672295e-06
12.05,156.0,3.471310991541956e-06
14.05,157.0,3.7483329627982626e-06
16.07,153.0,4.008740450565489e-06
18.13,153.0,4.257933771208754e-06
20.05,154.0,4.477722635447623e-06
22.12,153.0,4.703190406521939e-06
24.03,150.0,4.902040391510458e-06
26.1,149.0,5.10881590977792e-06
28.16,148.0,5.30659966456864e-06
30.08,146.0,5.484523680320835e-06
32.14,147.0,5.6692151132233464e-06
34.06,148.0,5.83609458456595e-06
36.12,148.0,6.009991680526687e-06
38.19,149.0,6.17980582219215e-06
40.1,150.0,6.332456079595026e-06
42.17,150.0,6.493843238021688e-06
44.08,149.0,6.639277069079133e-06
