r_kpc,v_obs,v_model
0.49,13.8,7e-07
0.99,21.6,9.9498743710662e-07
1.48,28.9,1.2165525060596438e-06
1.97,34.3,1.4035668847618199e-06
2.47,38.2,1.5716233645501712e-06
2.96,42.0,1.7204650534085253e-06
3.46,44.6,1.8601075237738273e-06
3.95,46.3,1.987460691435179e-06
4.44,47.4,2.107130750570548e-06
4.94,48.2,2.222611077089287e-06
5.43,47.4,2.3302360395462085e-06
5.92,45.5,2.4331050121192877e-06
