r_kpc,v_obs,v_model
1.07,22.1,83.25082103439547
1.78,42.7,28.26402635068248
2.49,60.6,1.57797338380595e-06
2.97,76.8,1.7233687939614085e-06
3.04,81.6,1.7435595774162694e-06
3.19,87.0,1.786057109949175e-06
6.95,90.0,2.6362852652928137e-06
8.58,97.8,18.05673279265853
9.26,93.7,31.012247762932695
9.89,103.0,38.533146431220445
10.08,97.4,28.121608308320898
11.84,106.5,9.66528542292762
14.56,112.0,3.815756805667783e-06
15.43,111.5,28.602460973949956
17.93,111.0,33.657753089426244
19.02,112.5,35.25084479380523
20.1,106.0,35.35885150729288
