r_kpc,v_obs,v_model
0.25,20.9,749.8242444282469
0.83,40.0,863.9047096388982
1.38,51.5,834.5039327022928
1.85,67.9,1.3601470508735443e-06
2.68,80.2,1.63707055437449e-06
3.19,83.3,1.786057109949175e-06
3.68,91.4,1.918332609325088e-06
4.13,102.0,2.0322401432901573e-06
5.23,105.0,2.286919325205854e-06
6.05,109.0,2.4596747752497684e-06
6.81,108.0,2.6095976701399775e-06
7.56,109.0,2.749545416973504e-06
8.32,110.0,2.8844410203711914e-06
9.09,111.0,3.014962686336267e-06
9.86,112.0,3.140063693621516e-06
