r_kpc,v_obs,v_model
0.41,33.2,882.7644381350924
0.98,50.4,401.5549424359153
1.78,53.9,1.3341664064126333e-06
2.69,67.6,1.6401219466856725e-06
3.36,81.7,1.833030277982336e-06
4.39,102.0,2.0952326839756963e-06
5.65,116.0,2.3769728648009426e-06
6.34,132.0,2.5179356624028345e-06
6.89,137.0,317.811249958024
8.34,154.0,355.5084369466005
10.04,163.0,164.28300875543675
11.65,170.0,3.4132096331752023e-06
13.36,175.0,3.655133376499413e-06
15.06,177.0,3.880721582386451e-06
16.67,178.0,4.08289113251872e-06
