galaxy,beta,rmse,maf,status
CamB,0.5124272702706923,8.58093567071845,1.5667312433675835,ok
D512-2,0.4544767290216543,12.942096574692814,0.3795911606214797,ok
D564-8,0.2654015794339082,10.35047602492702,0.43966660046735245,ok
D631-7,0.4205909549583272,24.979206632146745,0.4635906298533915,ok
DDO064,0.5430427171526296,14.569586281416859,0.42121348251502194,ok
DDO154,0.3367360384402595,23.000406415285585,0.5195650860637492,ok
DDO161,0.4505799518327802,21.443644757871134,0.2968578043328233,ok
DDO168,0.5908405893307496,19.701184258022344,0.37532967438003917,ok
DDO170,0.3809846885576795,24.623116448803238,0.43725320129874945,ok
ESO079-G014,1.2684277923388791,29.104117483225444,0.18014353463434737,ok
ESO116-G012,1.088802627764832,35.46944369102063,0.325117047010202,ok
ESO444-G084,0.5506081519706865,32.60031626274594,0.5571366844064823,ok
ESO563-G021,2.1130642672197313,63.117160300196986,0.33842568078326846,ok
F561-1,0.6099320245144105,4.36853078037121,0.09875618391432828,ok
F563-1,0.3951543701414685,57.33617506524403,0.580066834601291,ok
F563-V1,0.37467419297038296,1.8178937821699126,0.059545954062181015,ok
F563-V2,0.6053993181612556,50.87975731425018,0.5063298231104592,ok
F565-V2,0.3699861636240057,37.82575915548531,0.555073727278134,ok
F567-2,0.4341628626498907,11.171608666653972,0.21310929041320287,ok
F568-1,0.6320505735217534,59.60602795631056,0.5071790581874923,ok
F568-3,0.6577911882981647,33.95573746197435,0.36087084200083525,ok
F568-V1,0.6076213993156455,55.3160406893694,0.5180034319037067,ok
F571-8,1.3380746908923689,51.28749317557017,0.9063934572965452,ok
F571-V1,0.4703166903301273,33.811678703817975,0.4225399648545623,ok
F574-1,0.6037352467985867,36.66819145185218,0.40854892927831415,ok
F574-2,0.4492043190255564,7.1993645650429405,0.3217739863971362,ok
F579-V1,0.8835274839985248,38.44355599559849,0.37088322530855683,ok
F583-1,0.395073784494122,32.7937627297198,0.4970212631753796,ok
F583-4,0.5702442486069517,19.232010766697037,0.3432134444798333,ok
IC2574,0.37846117057914125,18.915388287707504,0.33904573337794003,ok
IC4202,2.1394769685683004,27.25357131094001,0.16032159740088725,ok
KK98-251,0.4207726720891709,7.763175385819024,0.2727423953025213,ok
NGC0024,1.4753407834634096,36.371527213979434,0.4621549951910126,ok
NGC0055,0.656107151539458,22.444009311129896,0.2497283647399749,ok
NGC0100,0.7567306639154537,27.695581237756283,0.4540488670434181,ok
NGC0247,0.6703807537411092,32.26234312616592,0.35796260341056063,ok
NGC0289,0.6820778324889656,55.10206585782013,0.2934582833630145,ok
NGC0300,0.6420792800634454,36.565947036692684,0.3971462242486893,ok
NGC0801,1.8551545463747339,33.74710013385071,0.1587891503734734,ok
NGC0891,2.7699147488427394,57.92282647904229,0.1856136621800644,ok
NGC1003,0.4411560827573775,48.216378746951754,0.40832853551343345,ok
NGC1090,1.2826559454848927,27.9524613393723,0.26713015985549526,ok
NGC1705,0.5676657754699596,44.782636799902455,0.6506068863191086,ok
NGC2366,0.5228698946380728,17.41473627781534,0.5374670293863737,ok
NGC2403,1.703964220083432,48.90747069172431,0.4491374161867943,ok
NGC2683,1.1410977363509478,32.47711631802323,0.1677939775456509,ok
NGC2841,2.3164768930760085,89.76472140335467,0.26829874015443095,ok
NGC2903,2.164898057271896,50.55185385822353,0.27800519539180774,ok
NGC2915,0.3952662906425245,48.990401310393416,0.6144074743569196,ok
