galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,state_term_i,propagation_source_i,propagation_term_i,history_term_i,delta_struct_i,DeltaD_i,causal_horizon_kpc,ell_info_kpc,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC4183,0.87,47.1,39.23971967280092,8.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.379616379005274,2.3464240897480853,-0.01019363605560497,0.3055502538077467,0.5,0.09217803529101923,0.4772398153410205,0.37422607842105626,0.37422607842105626,3.5,3.5,20157264.172208067,91.6083,1,39.23971967280092,0.16688493263692308,0.06245269388827787
NGC4183,1.74,65.9,49.12124591253768,6.6,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.379616379005274,2.3464240897480853,-0.01019363605560497,0.3055502538077467,0.5,0.09217803529101923,0.4772398153410205,0.37422607842105626,0.37422607842105626,3.5,3.5,20157264.172208067,91.6083,1,49.12124591253768,0.25460931847439033,0.09528144678212888
NGC4183,2.61,76.1,58.009813824903794,5.6,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.379616379005274,2.3464240897480853,-0.01019363605560497,0.3055502538077467,0.5,0.09217803529101923,0.4772398153410205,0.37422607842105626,0.37422607842105626,3.5,3.5,20157264.172208067,91.6083,1,58.009813824903794,0.23771598127590277,0.08895951945089434
NGC4183,3.5,85.7,61.092308026461076,5.6,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.3647327028033245,2.337453690019153,-0.010750002152533255,0.3280014809562142,0.5121643091758709,0.09439532007471665,0.4829486436965744,0.3899803460523583,0.3899803460523583,3.5,3.5,27936608.44166375,109.33057527133757,1,61.092308026461076,0.28713759595728033,0.11197801903606243
NGC4183,4.37,96.6,67.8220355046942,5.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.350018159285488,2.3285852266507767,-0.011300045907450991,0.35019758052344907,0.5241903875656523,0.09658740844041751,0.48859259900263335,0.4055555879151228,0.4055555879151228,3.5,3.5,35627551.0716938,126.85146105095538,1,67.8220355046942,0.2979085351480931,0.12081847111691793
NGC4183,5.24,99.3,72.29271747555214,5.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.3353036157676517,2.3197167632824,-0.011850089662368727,0.372393680090684,0.5362164659554337,0.09877949680611837,0.49423655430869234,0.4211308297778873,0.4211308297778873,3.5,3.5,43318493.70172385,144.3723468305732,2,72.29271747555214,0.27197666187762193,0.11453775729674281
NGC4183,6.11,103.0,76.5028267451602,5.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.3205890722498155,2.310848299914024,-0.012400133417286465,0.3945897796579189,0.5482425443452151,0.10097158517181923,0.4998805096147513,0.43670607164065184,0.43670607164065184,3.5,3.5,51009436.33175391,161.89323261019103,2,76.5028267451602,0.25725410927028924,0.11234443147284301
NGC4183,6.98,107.0,80.57107421401305,5.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.3037168301497286,2.2998085388231098,-0.012902233727902147,0.4160217826387484,0.5583138850626165,0.1053705300204246,0.5097464589127904,0.4535116531483651,0.4535116531483651,3.5,3.5,53830391.50627166,193.2755750365239,2,80.57107421401305,0.24699930641109297,0.11201706377699434
NGC4183,7.85,111.0,84.3596692738894,5.2,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.2846868894673915,2.286597480009658,-0.013356390594215773,0.4366896890331724,0.5664304881076376,0.11197633135193445,0.5238344022028094,0.4715475743010271,0.4715475743010271,3.5,3.5,51781359.22527714,238.5193741095717,2,84.3596692738894,0.24000297951450997,0.11317282281508628
NGC4183,8.72,114.0,87.84098929315404,6.1,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.2656569487850544,2.2733864211962063,-0.013810547460529402,0.4573575954275964,0.5745470911526588,0.11858213268344431,0.5379223454928285,0.4895834954536892,0.4895834954536892,3.5,3.5,49732326.94428262,283.7631731826196,3,87.84098929315404,0.22946500620040317,0.11234227981989585
NGC4183,9.6,115.0,86.74577396046449,6.1,9.99,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4183_structure_enriched.csv,2.246408273152346,2.260023511132025,-0.014269924520708702,0.47826306396448504,0.5827569884855538,0.12526386276589105,0.5521722191654914,0.5078267260448875,0.5078267260448875,3.5,3.5,47659742.56810426,329.52701592317374,3,86.74577396046449,0.24568892208291748,0.12476740092686546
