Structural coupling rotation pipeline run log
started_at: 2026-03-23T18:23:00.847574
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_182300_local_structural_coupling_v5
beta_mode: local_structural_coupling_v5
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[001/175] [OK] CamB | beta_mean=89.2294 | eta_mean=0.491802 | projection_mean=0.820399 | ratio_max=0.717866 | sigma_flip=104.208280 | rmse=6.8146 | mafe=0.834375
[002/175] [OK] D512-2 | beta_mean=77.6190 | eta_mean=0.484578 | projection_mean=0.815025 | ratio_max=0.557827 | sigma_flip=7.401293 | rmse=18.4879 | mafe=0.550403
[003/175] [OK] D564-8 | beta_mean=82.5724 | eta_mean=0.485808 | projection_mean=0.810284 | ratio_max=0.558647 | sigma_flip=3.475275 | rmse=12.9339 | mafe=0.586739
[004/175] [OK] D631-7 | beta_mean=83.7132 | eta_mean=0.488294 | projection_mean=0.799495 | ratio_max=0.521207 | sigma_flip=50.638499 | rmse=30.2925 | mafe=0.578362
[005/175] [OK] DDO064 | beta_mean=90.7096 | eta_mean=0.489411 | projection_mean=0.820999 | ratio_max=0.831368 | sigma_flip=50.874542 | rmse=15.9030 | mafe=0.368135
[006/175] [OK] DDO154 | beta_mean=91.8282 | eta_mean=0.497394 | projection_mean=0.811254 | ratio_max=0.549807 | sigma_flip=6.815369 | rmse=27.6913 | mafe=0.639867
[007/175] [OK] DDO161 | beta_mean=91.2788 | eta_mean=0.493518 | projection_mean=0.809359 | ratio_max=0.494716 | sigma_flip=25.429668 | rmse=29.0226 | mafe=0.438173
[008/175] [OK] DDO168 | beta_mean=92.8999 | eta_mean=0.492843 | projection_mean=0.812698 | ratio_max=0.536631 | sigma_flip=73.800228 | rmse=25.2201 | mafe=0.428406
[009/175] [OK] DDO170 | beta_mean=88.4560 | eta_mean=0.495246 | projection_mean=0.814947 | ratio_max=0.534772 | sigma_flip=1.200102 | rmse=32.3895 | mafe=0.587019
[010/175] [OK] ESO079-G014 | beta_mean=84.4006 | eta_mean=0.488350 | projection_mean=0.809352 | ratio_max=0.477514 | sigma_flip=87.478376 | rmse=42.2990 | mafe=0.277157
[011/175] [OK] ESO116-G012 | beta_mean=81.5634 | eta_mean=0.488678 | projection_mean=0.805222 | ratio_max=0.515128 | sigma_flip=113.399648 | rmse=48.6574 | mafe=0.403773
[012/175] [OK] ESO444-G084 | beta_mean=82.8247 | eta_mean=0.491216 | projection_mean=0.807455 | ratio_max=0.668451 | sigma_flip=56.296135 | rmse=35.3083 | mafe=0.593359
[013/175] [OK] ESO563-G021 | beta_mean=82.1858 | eta_mean=0.488964 | projection_mean=0.803253 | ratio_max=0.419551 | sigma_flip=178.279776 | rmse=75.2853 | mafe=0.375453
[014/175] [OK] F561-1 | beta_mean=78.5973 | eta_mean=0.490413 | projection_mean=0.814386 | ratio_max=0.486333 | sigma_flip=2.983417 | rmse=9.3734 | mafe=0.178594
[015/175] [OK] F563-1 | beta_mean=88.0471 | eta_mean=0.485096 | projection_mean=0.800798 | ratio_max=0.507233 | sigma_flip=7.197290 | rmse=62.4173 | mafe=0.629231
[016/175] [OK] F563-V1 | beta_mean=86.8718 | eta_mean=0.488956 | projection_mean=0.816207 | ratio_max=0.522449 | sigma_flip=7.156701 | rmse=2.4400 | mafe=0.107770
[017/175] [OK] F563-V2 | beta_mean=92.5997 | eta_mean=0.493758 | projection_mean=0.817666 | ratio_max=0.759245 | sigma_flip=32.887745 | rmse=53.4276 | mafe=0.503110
[018/175] [OK] F565-V2 | beta_mean=83.1130 | eta_mean=0.492722 | projection_mean=0.819096 | ratio_max=0.527764 | sigma_flip=4.595935 | rmse=39.0907 | mafe=0.533346
[019/175] [OK] F567-2 | beta_mean=77.3597 | eta_mean=0.500276 | projection_mean=0.824317 | ratio_max=0.568416 | sigma_flip=3.673960 | rmse=20.0620 | mafe=0.421229
[020/175] [OK] F568-1 | beta_mean=78.8979 | eta_mean=0.493757 | projection_mean=0.799913 | ratio_max=0.637082 | sigma_flip=23.658948 | rmse=63.0370 | mafe=0.499208
[021/175] [OK] F568-3 | beta_mean=93.0838 | eta_mean=0.494025 | projection_mean=0.808962 | ratio_max=0.543946 | sigma_flip=14.679236 | rmse=40.4062 | mafe=0.396620
[022/175] [OK] F568-V1 | beta_mean=91.0020 | eta_mean=0.496638 | projection_mean=0.806103 | ratio_max=0.622068 | sigma_flip=38.445662 | rmse=63.8742 | mafe=0.569676
[023/175] [OK] F571-8 | beta_mean=69.6825 | eta_mean=0.488912 | projection_mean=0.790353 | ratio_max=0.559747 | sigma_flip=610.927056 | rmse=62.0974 | mafe=0.800385
[024/175] [OK] F571-V1 | beta_mean=91.5893 | eta_mean=0.489929 | projection_mean=0.814360 | ratio_max=0.515294 | sigma_flip=9.066723 | rmse=41.5290 | mafe=0.496705
[025/175] [OK] F574-1 | beta_mean=83.9067 | eta_mean=0.494400 | projection_mean=0.818912 | ratio_max=0.678480 | sigma_flip=31.453309 | rmse=43.5968 | mafe=0.437198
