echo_patch,location_label,delay_time_days,delay_time_err_plus_days,delay_time_err_minus_days,theta_arcsec,z_1e17_cm,z_err_1e17_cm,hemisphere_group,source_table,notes,theta_norm,z_abs_1e17_cm,z_abs_norm,delay_norm,sigma_local_burst,sigma_observer_gap,sigma_total,Dw_trial_topological,delay_driver,delay_topological_proxy_days,angle_deg,angle_rad
N1,north,125,8,8,4.52,0.0,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,0.4799999999999998,0.0,0.0,0.0,1.0,0.2399999999999999,0.696,2.3040000000000003,0.62,149.18,90,1.5707963267948966
S1,south,136,5,5,4.99,0.1,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,0.668,0.1,0.06666666666666667,0.28205128205128205,0.717948717948718,0.22630769230769232,0.5212923076923077,2.478707692307692,0.47212820512820514,143.413,270,4.71238898038469
N2,north #2,156,5,5,5.5,-0.1,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,0.8719999999999999,0.1,0.06666666666666667,0.7948717948717948,0.20512820512820518,0.07189743589743586,0.15183589743589743,2.8481641025641027,0.13851282051282052,130.402,75,1.3089969389957472
S2,south #2,162,3,3,5.82,0.0,0.4,north_south_ring,Sokoloski2013_Table2,Key echo region used in distance/ring geometry analysis.,1.0,0.0,0.0,0.9487179487179487,0.05128205128205132,0.02564102564102566,0.04102564102564106,2.958974358974359,0.03846153846153849,126.5,255,4.4505895925855405
NW,northwest,159,10,1,3.99,-1.1,0.2,west_side_inclined,Sokoloski2013_Table2,Used to infer ring inclination.,0.2680000000000001,1.1,0.7333333333333334,0.8717948717948718,0.1282051282051282,0.6685641025641025,0.3443487179487179,2.655651282051282,0.39838461538461534,140.537,135,2.356194490192345
W,west,164,20,5,3.32,-1.5,0.2,west_side_inclined,Sokoloski2013_Table2,Used to infer ring inclination.,0.0,1.5,1.0,1.0,0.0,1.0,0.4,2.6,0.5,144.5,180,3.141592653589793
