galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,dsigma_dr,a_bar_kmps2_per_kpc,a_topo_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_topo_kmps,v_model_kmps,g_scale,lambda_reorg,l0_kpc
D631-7,0.45,8.41,1.58,-0.22791937995806577,0.07355225512402518,378.578,-68.37581398741973,310.2021860125802,13.052206709978202,0.0,11.814862830590167,300.0,0.0,1.0
D631-7,0.9,17.8,2.22,-0.19482086515225444,0.19974309152788153,470.4338888888889,-58.446259545676334,411.9876293432125,20.57645499108143,0.0,19.25587874932981,300.0,0.0,1.0
D631-7,1.35,26.0,2.35,-0.04815059758297239,0.36774787071061266,525.8278518518518,-14.445179274891716,511.38267257696015,26.643340631384795,0.0,26.274828410075227,300.0,0.0,1.0
D631-7,1.8,30.9,2.22,0.13615221848729694,0.2857756515532226,448.3973888888888,40.84566554618908,489.2430544350779,28.40977472631559,8.574508614675265,29.675537029397468,300.0,0.0,1.0
D631-7,2.25,34.7,1.82,0.20904748881492796,0.09683152553911922,352.3628444444444,62.714246644478386,415.0770910889228,28.156995578363823,11.878849058308484,30.560161238941074,300.0,0.0,1.0
D631-7,2.69,38.8,1.81,0.22362095595109696,0.020356855902978616,288.7396654275093,67.0862867853291,355.8259522128384,27.869512015821158,13.43361870281181,30.938193409643933,300.0,0.0,1.0
D631-7,3.14,42.5,1.57,0.2269068963031045,0.004502091864902608,232.83519108280254,68.07206889093135,300.90725997373386,27.03890715247197,14.620064853396665,30.738392871416103,300.0,0.0,1.0
D631-7,3.59,45.6,1.59,0.22767283862950927,0.0011563015759906703,192.5110027855153,68.30185158885278,260.8128543743681,26.289056658617476,15.658979762550992,30.599316123142057,300.0,0.0,1.0
D631-7,4.04,48.8,1.83,0.22794756772149616,0.00042172174155313824,161.28249999999997,68.38427031644885,229.66677031644883,25.52609057415569,16.621445547197553,30.460691917263688,300.0,0.0,1.0
D631-7,4.49,51.8,1.91,0.2280523881969071,0.00016174326390522298,134.95993318485523,68.41571645907213,203.37564964392737,24.616459940454476,17.52673862705877,30.21848220710686,300.0,0.0,1.0
D631-7,4.94,54.8,2.19,0.22809313665901085,6.164563098615128e-05,114.52698380566802,68.42794099770326,182.95492480337128,23.785779364990336,18.38570174153421,30.063222191386178,300.0,0.0,1.0
D631-7,5.39,56.6,2.73,0.22810786926479465,2.4842544227743346e-05,97.40022263450837,68.4323607794384,165.83258341394676,22.912599154177162,19.205479025558642,29.897117329287333,300.0,0.0,1.0
D631-7,5.84,58.4,3.27,0.22811549494881575,1.1381442514390994e-05,83.57277397260273,68.43464848464473,152.00742245724746,22.092193191261025,19.991456854124593,29.79468655902131,300.0,0.0,1.0
D631-7,6.29,58.5,3.95,0.22811811256305758,4.16481954457204e-06,72.15379968203496,68.43543376891728,140.58923345095224,21.303694515271285,20.74750294388435,29.737287677367107,300.0,0.0,1.0
D631-7,6.74,57.7,4.07,0.22811924328640584,2.5703602112847612e-06,62.735014836795244,68.43577298592176,131.170787822717,20.562927807099843,21.476897120513303,29.733669634357486,300.0,0.0,1.0
D631-7,7.19,57.3,3.94,0.22812042588724776,2.628001870933852e-06,54.80212795549373,68.43612776617432,123.23825572166805,19.850120906432785,22.182329873996405,29.767147304348686,300.0,0.0,1.0
