galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,0.35000000000000003,2.0038247745392535,229.03959164474358,245.83333333333334,9.143333333333334,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0014484608038967117,0.994920723369897,0.005273235343150162,0.005246451122106667,0.2914135088020768,1e-06,1.0306612232383415e-09,0.0001316456169750923,229.0395916447814,IC4202_segment_structure_v8_4_best_gamma.csv
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,0.35000000000000003,2.0026825342193066,205.63923030792338,241.71428571428572,12.457142857142857,7,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0011422403199468079,0.9959923831151135,0.0038247745392534505,0.0038094463082290544,0.3153368316177552,1e-06,6.087376792173765e-10,0.00011770670999984448,205.63923030795706,IC4202_segment_structure_v8_4_best_gamma.csv
NGC0100,1,0.23,1.59,0.91,1.36,0.35,2.08847927962468,27.599172151429467,25.6275,5.07,4,9.62,0.23,3.733520234736557,0.26784373382954535,0.0,1.0,0.08847927962467983,0.08847927962467983,0.12033182028956457,100.0,14.531073576810115,3.6363823994317768,27.837700702449133,NGC0100_segment_structure_v8_4_best_gamma.csv
NGC0100,2,2.05,3.42,2.735,1.37,0.35,2.0252009899794645,51.73566053421866,58.800000000000004,4.0,4,9.62,0.23,3.733520234736557,0.26784373382954535,0.06327828964521531,0.7895826416661991,0.08847927962467983,0.069861703338777,0.21604235386368909,100.0,2.8881798858147865,2.8105465638739098,51.811945947817996,NGC0100_segment_structure_v8_4_best_gamma.csv
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,0.35,2.013209481655429,55.162498029489754,76.9,4.388,5,9.62,0.23,3.733520234736557,0.26784373382954535,0.011991508324035394,0.9562168711669722,0.025200989979464516,0.024097611788473777,0.2599000073187114,100.0,1.1327531143898055,2.3293534334504002,55.2116570686969,NGC0100_segment_structure_v8_4_best_gamma.csv
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,0.3499999999999999,2.0087626009710484,50.06994501779251,82.6,5.423333333333333,3,9.62,0.23,3.733520234736557,0.26784373382954535,0.004446880684380705,0.9835345432277901,0.013209481655429123,0.012991981506248355,0.27756910216720915,100.0,0.5932789195120062,2.0144547176499454,50.11045222200881,NGC0100_segment_structure_v8_4_best_gamma.csv
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,0.35,2.006558277107572,46.49011326914392,88.84,8.472,5,9.62,0.23,3.733520234736557,0.26784373382954535,0.002204323863476354,0.9918038850656442,0.008762600971048418,0.008690781686365808,0.29182198413284904,100.0,0.37683623984097236,1.8210323749457495,46.52576480498125,NGC0100_segment_structure_v8_4_best_gamma.csv
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.3499999999999999,2.0851523460390853,67.7444087710755,67.01333333333334,1.6440000000000003,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.0,1.0,0.08515234603908528,0.08515234603908528,0.12006480791511026,100.0,16.04661805140302,3.7256307673283477,67.8467777006177,NGC2403_segment_structure_v8_4_best_gamma.csv
NGC2403,2,1.67,2.98,2.325,1.31,0.35,2.0281647992198613,103.12050731849263,97.4,1.6521428571428576,14,20.87,0.16,4.87089418483742,0.20530111352303537,0.05698754681922402,0.7576147178111515,0.08515234603908528,0.06451267061535912,0.2045764064212307,100.0,3.784509773083236,2.966308349180598,103.16316210181671,NGC2403_segment_structure_v8_4_best_gamma.csv
NGC2403,3,3.08,6.46,4.77,3.38,0.3499999999999999,2.012427902467385,102.2789615368371,113.33333333333333,3.049333333333334,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.015736896752476248,0.926211416463855,0.02816479921986126,0.026086558579847773,0.2927489744211162,100.0,1.286644666926485,2.477356466324403,102.30895986234559,NGC2403_segment_structure_v8_4_best_gamma.csv
NGC2403,4,6.96,13.42,10.19,6.46,0.35,2.0052304362957885,81.8632729073081,128.64285714285714,1.542142857142857,14,20.87,0.16,4.87089418483742,0.20530111352303537,0.007197466171596556,0.965549319958169,0.01242790246738501,0.011999752775890047,0.3702673773533659,100.0,0.35658829381435353,1.9062095147092992,81.8854632142383,NGC2403_segment_structure_v8_4_best_gamma.csv
NGC2403,5,13.91,20.87,17.39,6.960000000000001,0.3499999999999999,2.0028503035508365,66.5174223471972,134.26666666666668,4.1066666666666665,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.0023801327449519682,0.9884735694696073,0.005230436295788454,0.005170148035181404,0.4062516076782285,100.0,0.13433708759610757,1.5284377492381922,66.534980256018,NGC2403_segment_structure_v8_4_best_gamma.csv
NGC2683,1,2.89,14.43,8.66,11.54,0.35,2.011652895387903,205.08057127289626,195.8,7.4,5,34.62,2.89,2.4831750476237224,0.4027102321912228,0.0,1.0,0.01165289538790315,0.01165289538790315,0.13447441277640235,10000.0,17.93097365397468,12.461229146573814,205.4588108246052,NGC2683_segment_structure_v8_4_best_gamma.csv
NGC2683,2,17.31,34.62,25.964999999999996,17.31,0.35000000000000003,2.002976747247724,122.61999609272766,162.5,10.333333333333334,6,34.62,2.89,2.4831750476237224,0.4027102321912228,0.00867614814017914,0.9786860281581582,0.01165289538790315,0.011404525903729455,0.3318867561699592,10000.0,4.922812203350209,11.305786963320518,123.14010013249353,NGC2683_segment_structure_v8_4_best_gamma.csv
NGC2841,1,3.44,6.51,4.975,3.07,0.35,2.02544875488733,282.98789495077904,305.2,9.407,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.0,1.0,0.025448754887329894,0.025448754887329894,0.07812767750410277,1000000.0,3156.594126576714,125.31582413932868,309.4934643387358,NGC2841_segment_structure_v8_4_best_gamma.csv
NGC2841,2,6.86,9.93,8.395,3.0699999999999994,0.35,2.012785294331137,287.1012252081233,320.4,12.484,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1000000.0,2176.928822055935,135.18623251337237,317.33646335894827,NGC2841_segment_structure_v8_4_best_gamma.csv
NGC2841,3,10.27,22.51,16.39,12.240000000000002,0.35,2.0054686459590885,255.45435211970735,313.3,7.552,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1000000.0,1141.367179473922,136.77356495894074,289.7653086352419,NGC2841_segment_structure_v8_4_best_gamma.csv
NGC2841,4,24.59,43.08,33.835,18.49,0.35,2.0022427669919116,173.643980848759,284.1,3.818,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.003225878967176854,0.9906317825164029,0.0054686459590884695,0.005417414494402934,0.40677585629466684,1000000.0,355.3225795676358,109.64642939772803,205.3644846721924,NGC2841_segment_structure_v8_4_best_gamma.csv
NGC2841,5,45.16,63.64,54.4,18.480000000000004,0.35,2.0012665632435045,139.79052367963587,284.1,5.090000000000001,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.0009762037484071229,0.9971557139423912,0.0022427669919116155,0.002236387921026056,0.44810430507522836,1000000.0,151.4193288667916,90.75908489156038,166.6691393179322,NGC2841_segment_structure_v8_4_best_gamma.csv
NGC2998,1,0.33,2.64,1.485,2.31,0.35,2.055594555551112,106.16040290309387,135.75,16.75,4,42.28,0.33,4.852976785523648,0.20605909407664674,0.0,1.0,0.055594555551111924,0.055594555551111924,0.12842342332306855,10000.0,582.3597289304653,29.407553408295307,110.15822866226999,NGC2998_segment_structure_v8_4_best_gamma.csv
NGC2998,2,3.63,17.48,10.555,13.850000000000001,0.35,2.0056557873497147,209.6220323237375,208.25,8.75,4,42.28,0.33,4.852976785523648,0.20605909407664674,0.0499387682013972,0.784780135356104,0.055594555551111924,0.04362950283046406,0.7326920375249958,10000.0,65.76654038387233,26.347027038202476,211.27130015524074,NGC2998_segment_structure_v8_4_best_gamma.csv
NGC2998,3,22.46,42.28,32.370000000000005,19.82,0.35,2.0015612216528678,164.01718193338445,211.2,2.4,5,42.28,0.33,4.852976785523648,0.20605909407664674,0.0040945656968469635,0.9803252915181241,0.005655787349714725,0.005544511382373606,0.8425842531236407,10000.0,8.041331010443146,16.13374986815045,164.80877966351483,NGC2998_segment_structure_v8_4_best_gamma.csv
NGC3198,1,0.32,2.89,1.605,2.5700000000000003,0.35,2.0503854980944376,81.2176359373249,64.87777777777778,13.370000000000001,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.0,1.0,0.0503854980944376,0.0503854980944376,0.12949073010270465,1e-06,5.026765272181157e-08,0.0002840415156601365,81.21763593782158,NGC3198_segment_structure_v8_4_best_gamma.csv
NGC3198,2,3.21,5.46,4.335,2.25,0.35,2.0158175600775765,116.00314163581649,118.625,5.38875,8,44.08,0.32,4.925440448033024,0.20302752830954443,0.03456793801686109,0.843443535370595,0.0503854980944376,0.042497322644180824,0.2251097060521115,1e-06,1.1978874563927981e-08,0.00022787808414726458,116.00314163604031,NGC3198_segment_structure_v8_4_best_gamma.csv
NGC3198,3,5.78,11.04,8.41,5.259999999999999,0.35,2.0073184714798185,136.86619416809776,145.66666666666666,1.9344444444444444,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.008499088597758053,0.9590023489274985,0.01581756007757651,0.015169077268697697,0.30489905248546134,1e-06,4.310861630461744e-09,0.00019040574127946686,136.8661941682302,NGC3198_segment_structure_v8_4_best_gamma.csv
NGC3198,4,12.05,26.1,19.075000000000003,14.05,0.35,2.0028452561508554,108.54440155319925,153.125,2.0,8,44.08,0.32,4.925440448033024,0.20302752830954443,0.004473215328963054,0.9782083882602596,0.007318471479818456,0.007158990190801889,0.40548286466622785,1e-06,1.1144059258840034e-09,0.000145798810133133,108.54440155329716,NGC3198_segment_structure_v8_4_best_gamma.csv
NGC3198,5,28.16,44.08,36.12,15.919999999999998,0.35,2.0013719533318914,83.49923046825627,148.33333333333334,2.2222222222222223,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.0014733028189639619,0.9927696007259077,0.002845256150855402,0.0028246838128476504,0.45045183096676245,1e-06,3.452652525962143e-10,0.00011167354621294723,83.49923046833095,NGC3198_segment_structure_v8_4_best_gamma.csv
NGC3769,1,1.74,6.98,4.36,5.24,0.35,2.0239713525938265,126.80353346510815,108.625,6.875,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.0,1.0,0.023971352593826545,0.023971352593826545,0.1256098875916511,10000.0,66.0770808389714,16.97339307439486,127.9344839036556,NGC3769_segment_structure_v8_4_best_gamma.csv
NGC3769,2,8.72,14.52,11.620000000000001,5.799999999999999,0.35,2.0070632580267427,93.98851101146455,120.5,4.95,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.016908094567083864,0.9495552535941754,0.023971352593826545,0.022762123791226357,0.25763020558076394,10000.0,19.0802703497119,14.890021540066767,95.16066910029504,NGC3769_segment_structure_v8_4_best_gamma.csv
NGC3769,3,17.07,37.16,27.115,20.089999999999996,0.35,2.0025402906379273,63.51872460033542,118.5,11.575,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.004522967388815413,0.9862490438839301,0.00706325802674268,0.0069661314755804634,0.3975797869251754,10000.0,5.407606471152696,12.10897392289311,64.66262927161685,NGC3769_segment_structure_v8_4_best_gamma.csv
NGC3917,1,0.87,3.5,2.185,2.63,0.35,2.046092605687848,54.43461988407375,62.125,4.35,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.0,1.0,0.04609260568784812,0.04609260568784812,0.12122355295904055,10000.0,253.91252603101142,23.554168832241988,59.31211268620733,NGC3917_segment_structure_v8_4_best_gamma.csv
NGC3917,2,4.37,6.98,5.675000000000001,2.6100000000000003,0.35,2.0143245798426883,99.36390463229996,118.75,3.7,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.03176802584515981,0.9137889924670234,0.04609260568784812,0.04211891571167853,0.23115392296652154,10000.0,71.77439436946852,20.182162620659213,101.39282633314615,NGC3917_segment_structure_v8_4_best_gamma.csv
NGC3917,3,7.85,10.47,9.16,2.620000000000001,0.35,2.0080524301562024,110.84518004828477,135.75,3.725,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.006272149686485928,0.9823575296047566,0.014324579842688312,0.014071858866889383,0.26802219319777176,10000.0,31.943302139281734,17.10557358277765,112.15727612389884,NGC3917_segment_structure_v8_4_best_gamma.csv
NGC3917,4,11.35,14.86,13.105,3.51,0.35,2.005255789250093,101.61509729949712,137.2,4.9,5,14.86,0.87,2.837935106623121,0.3523688747026732,0.0027966409061095376,0.9920947269213732,0.008052430156202384,0.007988773496871035,0.2960627881717891,10000.0,17.23890888457135,15.03049902472661,102.72070823411691,NGC3917_segment_structure_v8_4_best_gamma.csv
NGC4010,1,0.87,3.5,2.185,2.63,0.35,2.046092605687848,68.99372899137225,60.825,6.0249999999999995,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.0,1.0,0.04609260568784812,0.04609260568784812,0.12122355295904055,100.0,2.539125260310114,2.355416883224199,69.03392375367851,NGC4010_segment_structure_v8_4_best_gamma.csv
NGC4010,2,4.37,6.98,5.675000000000001,2.6100000000000003,0.35,2.0143245798426883,101.36973526596431,110.075,5.550000000000001,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.03176802584515981,0.9240106003236765,0.04609260568784812,0.04259005625211105,0.23238359977705042,100.0,0.7215621487769617,2.0235773260019636,101.38993092554111,NGC4010_segment_structure_v8_4_best_gamma.csv
NGC4010,3,7.85,10.47,9.16,2.620000000000001,0.35,2.0080524301562024,101.06352102974711,125.5,4.8,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.006272149686485928,0.9845174030285075,0.014324579842688312,0.014102798146198005,0.2693329309200892,100.0,0.32099517901080404,1.7147349182130063,101.07806685315006,NGC4010_segment_structure_v8_4_best_gamma.csv
NGC4013,1,5.49,9.88,7.6850000000000005,4.390000000000001,0.35000000000000003,2.016876790672674,221.90782079557766,194.85714285714286,5.0,7,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0,1.0,0.01687679067267389,0.01687679067267389,0.07408911105303839,1000000.0,1254.4883725283964,98.18728605517481,242.65989382904405,NGC4013_segment_structure_v8_4_best_gamma.csv
NGC4013,2,10.56,14.98,12.77,4.42,0.35000000000000003,2.008592696002884,180.49914362500803,182.0,7.142857142857143,7,31.01,5.49,1.7313814775909184,0.5775734654337539,0.008284094669789965,0.9857594417110317,0.01687679067267389,0.01663645575136896,0.1476222454740892,1000000.0,905.2530829714148,107.51782117186418,210.09527057719848,NGC4013_segment_structure_v8_4_best_gamma.csv
NGC4013,3,15.68,20.79,18.235,5.109999999999999,0.35,2.005427342656141,144.67868483384245,166.25,5.125,8,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0031653533467430606,0.994534556027942,0.008592696002883926,0.008545733104311238,0.19129094163711963,1000000.0,575.2847606816188,102.42225154247156,177.2631926156122,NGC4013_segment_structure_v8_4_best_gamma.csv
NGC4013,4,21.48,25.2,23.34,3.719999999999999,0.35000000000000003,2.0039693557617193,126.15143218923197,172.5,5.0,6,31.01,5.49,1.7313814775909184,0.5775734654337539,0.001457986894421559,0.9974788519419442,0.0054273426561408655,0.005413659521742932,0.21142975505800332,1000000.0,388.1185527197946,95.17713496675557,158.02806986062444,NGC4013_segment_structure_v8_4_best_gamma.csv
NGC4013,5,25.9,31.01,28.455,5.110000000000003,0.35,2.0030965427561047,114.36964773183456,177.5,6.125,8,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0008728130056145922,0.9984899689745498,0.0039693557617193065,0.00396336191136806,0.23168253442509412,1000000.0,286.1383809689851,90.23340639958391,145.6793875356991,NGC4013_segment_structure_v8_4_best_gamma.csv
NGC4068,1,0.21,2.33,1.27,2.12,0.35000000000000003,2.0593355510021163,22.163802660980462,24.763333333333335,2.9866666666666664,6,2.33,0.21,2.4065160158422776,0.4155384769587753,0.0,1.0,0.059335551002116294,0.059335551002116294,0.12579136812448655,1e-06,7.799080421879008e-08,0.0003147194327617273,22.163802663214923,NGC4068_segment_structure_v8_4_best_gamma.csv
NGC4088,1,1.74,6.98,4.36,5.24,0.35,2.0239713525938265,206.23582623980633,140.475,8.925,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.0,1.0,0.023971352593826545,0.023971352593826545,0.1256098875916511,1e-06,6.60770808389714e-09,0.00016973393074394858,206.23582623987616,NGC4088_segment_structure_v8_4_best_gamma.csv
NGC4088,2,8.72,13.94,11.33,5.219999999999999,0.35,2.007285148478932,228.6614531039015,176.5,6.625,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.016686204114894743,0.9589307779634051,0.023971352593826545,0.022986867791633177,0.24560133746397625,1e-06,1.913246412986138e-09,0.00014723138883788653,228.6614531039489,NGC4088_segment_structure_v8_4_best_gamma.csv
NGC4088,3,15.68,21.48,18.58,5.800000000000001,0.35,2.0039955230193893,176.15766912675343,169.5,6.975,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.003289625459542478,0.9917664737510289,0.007285148478931802,0.007225166017702865,0.2875073003666529,1e-06,8.328321028973505e-10,0.00012439461592783174,176.15766912679734,NGC4088_segment_structure_v8_4_best_gamma.csv
NGC4157,1,1.74,6.98,4.36,5.24,0.35,2.0239713525938265,215.8670910476772,161.6,9.475,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.0,1.0,0.023971352593826545,0.023971352593826545,0.1256098875916511,1e-06,6.60770808389714e-09,0.00016973393074394858,215.86709104774394,NGC4157_segment_structure_v8_4_best_gamma.csv
NGC4157,2,8.72,13.94,11.33,5.219999999999999,0.35,2.007285148478932,227.09331741195047,192.75,6.525,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.016686204114894743,0.953808376695676,0.023971352593826545,0.022864076904717378,0.24496036903427576,1e-06,1.9082532376165546e-09,0.0001470391416670934,227.09331741199807,NGC4157_segment_structure_v8_4_best_gamma.csv
NGC4157,3,15.68,20.9,18.29,5.219999999999999,0.35,2.004071992516984,173.7702629094548,182.5,6.699999999999999,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.0032131559619479333,0.9909345279590299,0.007285148478931802,0.00721910516908173,0.2826440980168824,1e-06,8.449140077407947e-10,0.00012431201551571405,173.77026290949928,NGC4157_segment_structure_v8_4_best_gamma.csv
NGC4157,4,22.65,29.61,26.13,6.960000000000001,0.35,2.002654873270447,143.6010859755771,185.2,10.84,5,29.61,1.74,2.8342270288870623,0.3528298861762947,0.0014171192465370908,0.995991617426219,0.004071992516983869,0.004055670413138224,0.3108715640923244,1e-06,4.553047475571075e-10,0.0001090738880468979,143.6010859756185,NGC4157_segment_structure_v8_4_best_gamma.csv
NGC4183,1,0.87,4.37,2.62,3.5,0.35,2.036824330139482,55.05702458827953,74.28,6.24,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.0,1.0,0.036824330139482164,0.036824330139482164,0.12888515548818757,10000.0,187.7588070161814,22.17945162492516,59.35658371989423,NGC4183_segment_structure_v8_4_best_gamma.csv
NGC4183,2,5.24,7.85,6.545,2.6099999999999994,0.35,2.012057522595498,78.4315719271537,105.075,5.2,4,21.02,0.87,3.1847364327823127,0.31399772668985365,0.024766807543984193,0.9241547395564731,0.036824330139482164,0.03403137922939472,0.21770705527690776,10000.0,50.82216967142507,18.238177005925703,80.52417385769171,NGC4183_segment_structure_v8_4_best_gamma.csv
NGC4183,3,8.72,12.31,10.515,3.59,0.35,2.0068292377466848,83.77962206637491,112.2,5.72,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.005228284848813214,0.9834871476214405,0.012057522595497971,0.011858418504827368,0.260278777709238,10000.0,23.540745085919916,15.733115857275314,85.24409661767237,NGC4183_segment_structure_v8_4_best_gamma.csv
NGC4183,4,13.12,16.03,14.575,2.910000000000002,0.35,2.0046337061736925,72.17567239808223,109.25,4.925,4,21.02,0.87,3.1847364327823127,0.31399772668985365,0.0021955315729922376,0.993032199090336,0.006829237746684758,0.006781652977701096,0.2800133878743482,10000.0,13.181403946551878,13.86069848604296,73.49453482155175,NGC4183_segment_structure_v8_4_best_gamma.csv
NGC4183,5,16.95,21.02,18.985,4.07,0.35,2.0033920237197615,64.2317986909034,110.8,7.359999999999999,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.00124168245393097,0.9960533771185925,0.00463370617369252,0.0046154186828817065,0.29879814191367676,10000.0,8.290041211545919,12.545374940638453,65.4454765088462,NGC4183_segment_structure_v8_4_best_gamma.csv
NGC4389,1,0.87,5.32,3.095,4.45,0.35000000000000003,2.0299963451851553,129.41212209049402,73.10000000000001,6.583333333333333,6,5.32,0.87,1.8107353706870606,0.5522618137296135,0.0,1.0,0.02999634518515526,0.02999634518515526,0.1334837360739409,1e-06,1.3935002369650447e-08,0.00020767482354408813,129.41212209066066,NGC4389_segment_structure_v8_4_best_gamma.csv
NGC5907,1,5.03,15.1,10.065,10.07,0.35,2.0114086786106196,214.54029707471642,226.8,4.4,5,50.33,5.03,2.3031813366766207,0.4341820524835234,0.0,1.0,0.01140867861061956,0.01140867861061956,0.11488539360893897,1000000.0,1134.0632003150806,106.83794321855548,239.6703677555464,NGC5907_segment_structure_v8_4_best_gamma.csv
NGC5907,2,17.61,25.16,21.384999999999998,7.550000000000001,0.35,2.0043292669740147,208.05811317104434,228.0,4.5,4,50.33,5.03,2.3031813366766207,0.4341820524835234,0.00707941163660486,0.9838270409654284,0.01140867861061956,0.011224166518811416,0.19962785082596518,1000000.0,436.51846769492994,96.61753169925257,229.39731011489906,NGC5907_segment_structure_v8_4_best_gamma.csv
NGC5907,3,27.68,37.75,32.715,10.07,0.35,2.002548894819335,174.22505643645147,217.0,2.0,5,50.33,5.03,2.3031813366766207,0.4341820524835234,0.0017803721546796325,0.9959078757333727,0.0043292669740147005,0.004311551075573627,0.24304517015699162,1000000.0,227.0874564127346,86.19261068411035,194.37987659947547,NGC5907_segment_structure_v8_4_best_gamma.csv
NGC5907,4,40.26,50.33,45.295,10.07,0.35,2.001710400475847,148.05471556378245,215.8,3.6,5,50.33,5.03,2.3031813366766207,0.4341820524835234,0.0008384943434882608,0.9980706590527818,0.002548894819335068,0.0025439771321899727,0.26866301987814467,1000000.0,130.95056123689554,77.01561965747717,166.88799978398,NGC5907_segment_structure_v8_4_best_gamma.csv
NGC5985,1,3.54,8.02,5.779999999999999,4.4799999999999995,0.35000000000000003,2.0210504730424197,171.006515332304,254.42857142857142,6.155714285714285,7,34.72,3.54,2.283189162646466,0.437983858876104,0.0,1.0,0.021050473042419693,0.021050473042419693,0.09430611923004022,1000000.0,2822.826571462274,127.73385449070243,213.4459319573682,NGC5985_segment_structure_v8_4_best_gamma.csv
NGC5985,2,8.79,12.56,10.675,3.7700000000000014,0.35000000000000003,2.009470764838885,212.8164177014081,298.6666666666667,9.28,6,34.72,3.54,2.283189162646466,0.437983858876104,0.011579708203534711,0.973907777341355,0.021050473042419693,0.020501219412727076,0.17159571641602134,1000000.0,1505.811726415623,126.78540996300315,247.72034196397152,NGC5985_segment_structure_v8_4_best_gamma.csv
