dataset,rows_read,rows_written,shells_nonempty,median_D_loc,median_lambda_pos,median_Sigma_bg_shell,median_sigma_local_spread_shell,median_Sigma_shell_effective,median_topological_gradient_term_effective
5d,22517,22517,5,2.3171424331600337,0.4030146395426611,-0.6987679611921656,0.35865586305121655,-0.340112098140949,0.0023171892636075515
6d,858,858,3,2.308640635826249,0.49811235065474235,-0.04483418618734847,0.6561023938910356,0.6112682077036872,0.1135312182522953
