dataset,shell,shell_center_kpc,n_shell,D_bg_reference,D_halo_shell,Sigma_bg_shell,sigma_local_mean_shell,sigma_local_median_shell,observed_variance_shell,standard_variance_shell,topological_gradient_term_bg,xi_cinfo2_shell_estimate_diag,A_global_adopted,topological_prediction_from_Aglobal,residual_observed_minus_standard,residual_observed_minus_topological
6d,5-10,7.5,824,3.0,2.8791566855942365,-0.12084331440576346,2.499551521061269e-17,-0.09117630964634982,19719.550948305743,19799.74727412438,0.24785341496500532,-323.56352979828813,-70428.41127249114,2343.825029677577,-80.19632581863698,17375.725918628166
6d,10-20,15.0,31,3.0,4.7380572978317765,1.7380572978317765,-6.0101499317641e-16,-0.6231794728570472,48076.47517370161,82908.12333677658,0.24785341496500532,-140533.25901518398,-70428.41127249114,65452.20109232978,-34831.64816307497,-17375.725918628166
6d,20-40,30.0,0,3.0,,,,,,,,,-70428.41127249114,,,
6d,40-80,60.0,0,3.0,,,,,,,,,-70428.41127249114,,,
6d,80+,100.0,0,3.0,,,,,,,,,-70428.41127249114,,,
