galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,volume_kpc3,m_enc_inner_msun,m_enc_outer_msun,m_shell_msun,mu_shell_msun_per_kpc3,v_bar_internal_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,vdgrad_i,dyn_persist_i,e_struct_i,p_stat_i,beta_i,g_bar_internal_km2s2_per_kpc,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_segment_kms
NGC2683,1,2.89,14.43,8.66,11.54,0.35,219.77162204634766,33372527300.734028,93009804358.6125,59637277057.87848,271360226.14103276,205.08057127289626,195.8,7.4,5,34.62,-3.0,1.9500000000000002,1.95,2.220446049250313e-16,0.0,0.730719681428612,0.5,0.25014442518775276,1.1827326799020386,0.25014442518775276,0.0,0.0,4.930380657631324e-32,1.0,0.0,4856.586687484698,874.4821180188578,0.0,0.0,4128.098684361993,0.0,4856.586687484698,205.08057127289626
NGC2683,2,17.31,34.62,25.964999999999996,17.31,0.35,988.4012990358113,90715075997.87022,83880670504.61414,1e-12,1.0117348095105734e-15,122.61999609272766,162.5,10.333333333333334,6,34.62,-3.0,1.9500000000000002,1.95,2.220446049250313e-16,0.0,1.0117348095105735e-23,0.5,0.75,1.000000000000433,0.75,0.0,0.0,4.930380657631324e-32,1.0,0.0,579.0742708176602,104.23336892717884,0.0,0.0,492.2131301950112,0.0,579.0742708176602,122.61999609272766
