galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F574-2_normalized.csv,local_structural_coupling,23.005651532032136,33.989347532354685,2.155154452027405,2.2055195611264233,0.37532474512026476,computed_from_baryonic_velocity,5.054727229033667,0.16624677639950494,5,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F561-1_normalized.csv,local_structural_coupling,35.78261985289982,76.26874741258428,2.202363939319229,2.375992445800056,0.4176258299343887,computed_from_baryonic_velocity,15.31244100623688,0.2403109303277905,6,ok,
PGC51017,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\PGC51017_normalized.csv,local_structural_coupling,85.83437702653261,128.5438423272457,2.429261547992799,2.626216333212186,0.5960275629437968,computed_from_baryonic_velocity,17.997745563058395,0.9346965943429275,6,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D564-8_normalized.csv,local_structural_coupling,80.29591646644116,130.39514885405393,2.3967414429879206,2.637426591752013,0.5717003056006043,computed_from_baryonic_velocity,19.591350480999363,0.8627117706320706,6,ok,
UGC06628,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06628_normalized.csv,local_structural_coupling,47.43085467759912,72.07274162119464,2.259643076698327,2.3589444435285225,0.4909112746386929,computed_from_baryonic_velocity,21.01460491677793,0.48798198026265494,7,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F563-V1_normalized.csv,local_structural_coupling,65.21956266504922,93.36655277246848,2.3312477698946514,2.4483028952461776,0.5501991008032068,computed_from_baryonic_velocity,22.24442054221603,0.8749170084544545,6,ok,
UGC07866,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07866_normalized.csv,local_structural_coupling,47.83658233959455,91.53662943986994,2.2437761061302903,2.440281603674251,0.4456250078227694,computed_from_baryonic_velocity,22.92452484799858,0.7203556763527613,7,ok,
UGC05829,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC05829_normalized.csv,local_structural_coupling,57.74125872943569,95.06553580325618,2.2963254058854994,2.4558250538417288,0.5151981635333956,computed_from_baryonic_velocity,24.625449981279147,0.5360865784430496,11,ok,
UGC05918,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC05918_normalized.csv,local_structural_coupling,42.25175269320325,66.60026661650349,2.235306546522814,2.3369650286747463,0.46095803404288255,computed_from_baryonic_velocity,27.43071215443845,0.5343891970370045,8,ok,
IC2574,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\IC2574_normalized.csv,local_structural_coupling,56.471688243509924,130.89564556631547,2.292893043277734,2.6405026934171287,0.502318792314299,computed_from_baryonic_velocity,29.501959492660674,0.681445243385529,34,ok,
UGC05750,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC05750_normalized.csv,local_structural_coupling,60.31204739633226,135.5598685235285,2.3109786978575304,2.670176215197559,0.519961990023852,computed_from_baryonic_velocity,30.76408249026958,1.985165128000614,11,ok,
F567-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F567-2_normalized.csv,local_structural_coupling,44.939041604844775,106.3212116642853,2.245361746022602,2.5077934456379727,0.45578816158941127,computed_from_baryonic_velocity,30.84289850076759,0.5280475927488595,5,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D512-2_normalized.csv,local_structural_coupling,70.27255505093424,122.27311882925262,2.3513754257399095,2.590037329852718,0.5315731807755271,computed_from_baryonic_velocity,30.99836173452527,0.8261800068540953,4,ok,
UGC07608,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07608_normalized.csv,local_structural_coupling,14.950071141232382,38.99817785296719,2.106463202540369,2.2264483370683763,0.30673884050534606,computed_from_baryonic_velocity,31.807277418261585,0.6067749583974993,8,ok,
UGC09992,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC09992_normalized.csv,local_structural_coupling,84.47300365678652,121.46649992611144,2.4160218912352773,2.5855661148915408,0.6188552962148219,computed_from_baryonic_velocity,32.09470361290162,1.0,5,ok,
UGC07559,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07559_normalized.csv,local_structural_coupling,50.06926943815925,81.85976693650805,2.267620864022412,2.399063570368488,0.4920676747407245,computed_from_baryonic_velocity,32.61828446791121,1.7158271088192638,7,ok,
UGC08837,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC08837_normalized.csv,local_structural_coupling,43.15692410718293,79.94758276485373,2.227855233807561,2.391121182927787,0.4371367175250996,computed_from_baryonic_velocity,32.62878312168648,0.9018640293634076,8,ok,
UGC07524,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07524_normalized.csv,local_structural_coupling,37.54472501769598,119.18124402851551,2.2080825392093524,2.5731032928046176,0.41655504668679805,computed_from_baryonic_velocity,34.8206729042189,0.5558174347786566,31,ok,
UGC00731,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC00731_normalized.csv,local_structural_coupling,62.85428151334486,124.36084387791352,2.320258359425592,2.601794638896983,0.5194491684127193,computed_from_baryonic_velocity,35.52709705885951,0.5071445098352566,12,ok,
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3741_normalized.csv,local_structural_coupling,97.0417334678959,127.88062682607746,2.473292860313045,2.6222626146074286,0.6601462922411743,computed_from_baryonic_velocity,37.89743049462903,1.0,21,ok,
