galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_i,M_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms
NGC3917,1,0.87,3.5,2.185,0.35,2.048173842196159,54.43461988407375,62.125,4.35,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.0,1.0,4.195016087856576,4.195016087856576,3.779123657226717e-06,0.0028735666324343997,54.43461995992056
NGC3917,2,4.37,6.98,5.675000000000001,0.35,2.014818524058862,99.36390463229996,118.75,3.7,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.03335531813729675,0.9096819661219383,3.692848196730993,7.887864284587569,1.0533872384164417e-06,0.0024449892797338206,99.36390466238117
NGC3917,3,7.85,10.47,9.16,0.35,2.008300668148807,110.84518004828477,135.75,3.725,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.006517855910054937,0.9816727721197691,3.959352886453127,11.847217171040697,6.072754953555023e-07,0.002358525712697744,110.84518007337672
NGC3917,4,11.35,14.86,13.105,0.35,2.0054059113354863,101.61509729949712,137.2,4.9,5,14.86,0.87,2.837935106623121,0.3523688747026732,0.0028947568133208534,0.9918185199962348,3.9887497966877095,15.835966967728407,3.96580075675994e-07,0.0022797328553437793,101.61509732507
