galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,use_dimension_proxy,d_eff_proxy,d_eff_ratio,d_eff_g_hat,d_eff_sigma_hat,d_eff_signed_delta,d_eff_response,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_d_ref,formula_dim_sensitivity,formula_dim_g_power,formula_dim_sigma_power,formula_d_min,formula_d_max,formula_dim_response_lambda,formula_dim_transition,formula_dim_response_min,formula_dim_response_max,use_cinfo_ceiling,c_info_kmps,cinfo_quantile,cinfo_margin,sigma_soft_power,sigma_floor_fraction,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,formula,,4799.505069870853,8349.127532882012,8349.127532882012,False,False,,4799.505069870853,,,gbar_char_logmean,sigma_char_rms,262.5817073170732,232.41966823803128,0.8504137903398545,0.8479437734614396,0.980096641733638,1,True,1.9628555309106661,4.487147631771782,0.41425024361972157,1.8588019996191174,1.0371444690893339,1.7395809383125984,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,16.796177795030122,13.092341541163238,1.110232580820725,1.0,1128.446354089052,141.0557942611315,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,formula,,3626.9816287969197,6366.530756513348,6366.530756513348,False,False,,3626.9816287969197,,,gbar_char_logmean,sigma_char_rms,206.5490972222222,189.03041345193063,0.921307350066888,0.9181889398497995,0.9283658401814271,4,True,1.8991997728186538,5.22590850714286,0.3369159564577057,1.7606919630444977,1.1008002271813462,1.7553247874114941,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,46.80929497613757,46.733162696248634,1.507676152023513,1.2976715301539645,772.8974839559527,257.63249465198425,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,formula,,1617.4541385406621,2919.947796733769,2919.947796733769,False,False,,1617.4541385406621,,,gbar_char_logmean,sigma_char_rms,70.43799836601308,65.81715615091065,1.1598801637211655,1.2524710185461423,1.2568985130359798,6,True,1.5956579219765965,20.32054883378592,0.1173083722929547,2.383770507790925,1.4043420780234035,1.80527393460953,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,39.24582447012167,38.41318678340792,2.1029288816264464,1.9486769597109932,2911.0035890315107,582.2007178063021,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,formula,,5141.399631110324,9171.651542753196,9171.651542753196,False,False,,5141.399631110324,,,gbar_char_logmean,sigma_char_rms,176.89675139275764,177.4202934561785,1.1773048281902323,1.1955535943059061,1.3688933985584286,13,True,1.752725623135177,8.209952987117763,0.3162228065485126,2.5961743752177235,1.247274376864823,1.7838822501281637,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,58.50034560743253,52.34000230826061,1.1418054690783528,1.2835521972664576,9566.544673698496,637.769644913233,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,formula,,6220.926259200005,10863.624352103081,10863.624352103081,False,False,,6220.926259200005,,,gbar_char_logmean,sigma_char_rms,294.89539265251096,254.48699639190355,1.0903630354025464,1.0430605334045149,1.1397054103466762,14,True,1.9367871130389411,4.765421812038095,0.45358166566794433,2.161507963114593,1.0632128869610589,1.7463033476786647,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,80.37162280667076,77.21631625973237,4.122259862852883,2.0225141506417166,3985.561092355256,306.58162248886583,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,formula,,3760.599890863091,6767.954034172118,6767.954034172118,False,False,,3760.599890863091,,,gbar_char_logmean,sigma_char_rms,113.39115958443993,117.12170534208285,1.4444316853791692,1.6382120738101946,1.5496922859153333,12,True,1.642639027092483,14.079343938378132,0.20875038390221753,2.9390684522277946,1.357360972907517,1.7997006410109777,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,60.89393321797246,59.259898044377735,1.5828847628876626,1.503987699888503,428099.8318884985,38918.16653531804,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,formula,,3911.3735615218,6805.90235035306,6805.90235035306,False,False,,3911.3735615218,,,gbar_char_logmean,sigma_char_rms,203.02229299363057,210.89414656458226,0.7361134146370053,0.8605593828985952,0.8927240993135442,31,True,1.9611657141851278,4.504297501442369,0.375884503470159,1.6930956298115427,1.0388342858148722,1.7400287247697925,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,26.15632540376179,23.582472783376804,0.4709619679910617,0.4818811193518752,13556.57704443236,451.8859014810787,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,formula,,7059.654746835381,11826.379726444155,11826.379726444155,False,False,,7059.654746835381,,,gbar_char_logmean,sigma_char_rms,349.09260200070753,336.41905162291397,0.8550080726030653,1.068293487174841,0.9699095149428323,10,True,2.1575577780424338,3.067785369801215,0.5996122236539007,1.8394816072794105,0.8424422219575662,1.675206529291754,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,60.35897373052733,57.547410890449065,1.4479180513939354,1.3543134436593562,14852.608141371385,1650.2897934857094,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,formula,,3209.990458212194,5742.820802320153,5742.820802320153,False,False,,3209.990458212194,,,gbar_char_logmean,sigma_char_rms,145.149332915392,133.28663783148613,1.1516052395913206,1.1684673163777983,1.1750808711800163,8,True,1.7198744975178448,9.381136990641856,0.23756174600679492,2.228599283025809,1.2801255024821552,1.7890460663607768,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,33.781826313187516,33.61175410333794,0.6972577072834096,0.5691872945979062,6280.113289219306,897.1590413170437,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,formula,,16749.4844399448,10492.390081599005,10492.390081599005,False,False,,16749.4844399448,,,gbar_char_logmean,sigma_char_rms,1608.9090643776824,1661.706405566926,0.39965548751922403,0.4362841213886518,0.43902535651344304,12,True,3.9244916563160133,0.28113158723248444,2.9617213058989855,0.8326334116676484,-0.9244916563160133,0.6264306295050108,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,16.19730339445204,13.54898496433654,0.16044035705751014,0.10257687731550805,441.31788315249526,31.522705939463947,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\ESO079-G014_rotation_curve.png,ok,
