galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
NGC3992,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3992_normalized.csv,constant,200.0,computed_from_baryonic_velocity,117.22584718254484,0.4555522443722599,9,ok,
NGC5371,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5371_normalized.csv,constant,200.0,computed_from_baryonic_velocity,128.73082853065605,0.46286760347096356,19,ok,
UGC02885,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02885_normalized.csv,constant,200.0,computed_from_baryonic_velocity,155.82376001864532,0.48867656272331894,19,ok,
UGC00731,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC00731_normalized.csv,constant,200.0,computed_from_baryonic_velocity,43.13091651058254,0.5437307756117306,12,ok,
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F574-2_normalized.csv,constant,200.0,computed_from_baryonic_velocity,14.252166748086022,0.5582906845260249,5,ok,
UGC02487,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02487_normalized.csv,constant,200.0,computed_from_baryonic_velocity,227.30043759049147,0.575772568857575,17,ok,
NGC5907,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5907_normalized.csv,constant,200.0,computed_from_baryonic_velocity,144.16879411893,0.5813265520623754,19,ok,
UGC12506,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC12506_normalized.csv,constant,200.0,computed_from_baryonic_velocity,133.88261505526384,0.5978967943245025,31,ok,
NGC6674,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC6674_normalized.csv,constant,200.0,computed_from_baryonic_velocity,167.81488577017348,0.5996083148296503,15,ok,
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0801_normalized.csv,constant,200.0,computed_from_baryonic_velocity,152.23613941799206,0.6324816517249479,13,ok,
UGC07608,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07608_normalized.csv,constant,200.0,computed_from_baryonic_velocity,32.79018530136211,0.6391383770583486,8,ok,
NGC5985,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC5985_normalized.csv,constant,200.0,computed_from_baryonic_velocity,189.16645419813537,0.6494795749358474,33,ok,
NGC0289,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC0289_normalized.csv,constant,200.0,computed_from_baryonic_velocity,124.51112244388595,0.6614576846226639,28,ok,
UGC06667,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06667_normalized.csv,constant,200.0,computed_from_baryonic_velocity,51.78316830534656,0.6926313037156375,9,ok,
UGC00128,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC00128_normalized.csv,constant,200.0,computed_from_baryonic_velocity,80.92611719788843,0.6973025361935851,22,ok,
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC6195_normalized.csv,constant,200.0,computed_from_baryonic_velocity,186.42335756654862,0.6995435497743268,23,ok,
UGC07524,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07524_normalized.csv,constant,200.0,computed_from_baryonic_velocity,46.80598029632271,0.7071011060688488,31,ok,
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC06614_normalized.csv,constant,200.0,computed_from_baryonic_velocity,139.514382412706,0.72348941908592,13,ok,
NGC7331,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC7331_normalized.csv,constant,200.0,computed_from_baryonic_velocity,190.22453415143517,0.7234935254644906,36,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F561-1_normalized.csv,constant,200.0,computed_from_baryonic_velocity,34.17947748581961,0.7275434701515001,6,ok,
