galaxy,n_points,chi2,reduced_chi2,rmse_kmps,mae_kmps,mean_abs_residual_kmps,max_abs_residual_kmps,status,source_file
CamB,9,84.25319801381436,10.531649751726794,4.5894770403013885,4.202427243014029,4.202427243014029,6.429388876683932,success,data\raw\sparc_csv\CamB.csv
D512-2,4,32.73725258141039,10.912417527136796,10.027490915691017,9.882278130026027,9.882278130026027,12.287961375098611,success,data\raw\sparc_csv\D512-2.csv
D564-8,6,69.19294428352381,13.838588856704764,6.198389508738403,5.762505370138373,5.762505370138373,7.727880623835119,success,data\raw\sparc_csv\D564-8.csv
D631-7,16,920.6487603242665,61.37658402161777,18.69197533620129,15.969326572844656,15.969326572844656,27.40178518398712,success,data\raw\sparc_csv\D631-7.csv
DDO064,14,98.20799842008849,7.554461416929883,13.204534926680688,12.058323919050023,12.058323919050023,17.99845100736183,success,data\raw\sparc_csv\DDO064.csv
DDO154,12,36179.14473331729,3289.0131575742994,15.980479576913059,14.852131699343234,14.852131699343234,19.582088297619258,success,data\raw\sparc_csv\DDO154.csv
DDO161,31,4347.906233533427,144.9302077844476,14.538925342041248,12.052002081222529,12.052002081222529,21.23244941527595,success,data\raw\sparc_csv\DDO161.csv
DDO168,10,1022.0649706971366,113.56277452190406,16.394242221941603,13.999118724788076,13.999118724788076,22.829905329827792,success,data\raw\sparc_csv\DDO168.csv
DDO170,8,1320.0827592862474,188.58325132660678,14.403038605067952,14.121528723400662,14.121528723400662,17.9615447502685,success,data\raw\sparc_csv\DDO170.csv
ESO079-G014,15,1426.2702707904787,101.87644791360562,27.25844754170134,23.095025694025633,23.095025694025633,43.5180830416862,success,data\raw\sparc_csv\ESO079-G014.csv
ESO116-G012,15,2296.2192066917664,164.01565762084047,31.166308425712142,26.40715702562942,26.40715702562942,47.97951195237518,success,data\raw\sparc_csv\ESO116-G012.csv
ESO444-G084,7,1421.5060576828348,236.91767628047248,27.68383928620381,25.9356058443949,25.9356058443949,36.90104718736,success,data\raw\sparc_csv\ESO444-G084.csv
ESO563-G021,30,1680.8164427472657,57.9591876809402,60.260949703834605,53.21885545119199,53.21885545119199,108.84394976431784,success,data\raw\sparc_csv\ESO563-G021.csv
F561-1,6,4.284513574382936,0.8569027148765873,4.678211998056597,3.8879883933864274,3.8879883933864274,7.774845000203335,success,data\raw\sparc_csv\F561-1.csv
F563-1,17,222.7958471417394,13.924740446358712,40.08088327326652,38.355566729583025,38.355566729583025,52.84372366747571,success,data\raw\sparc_csv\F563-1.csv
F563-V1,6,1.408591026916128,0.28171820538322556,2.4226285887063246,1.779781614525061,1.779781614525061,4.856007466117763,success,data\raw\sparc_csv\F563-V1.csv
F563-V2,10,123.1550003219671,13.68388892466301,43.06713272700404,39.92586681060551,39.92586681060551,58.06997365774058,success,data\raw\sparc_csv\F563-V2.csv
F565-V2,7,158.40160668742413,26.400267781237357,30.005794206007234,28.33899965067329,28.33899965067329,36.84227165292688,success,data\raw\sparc_csv\F565-V2.csv
F567-2,5,8.972669962023524,2.243167490505881,7.111220262965268,6.124486792927857,6.124486792927857,10.554978842925678,success,data\raw\sparc_csv\F567-2.csv
F568-1,12,269.4818088078174,24.498346255256127,52.63244862612481,48.76254137413673,48.76254137413673,64.66366337787562,success,data\raw\sparc_csv\F568-1.csv
F568-3,18,192.77516697573816,11.339715704455186,27.431540568723545,24.359719825055915,24.359719825055915,42.494300130334466,success,data\raw\sparc_csv\F568-3.csv
F568-V1,15,370.4752606895351,26.462518620681077,46.987575187018315,44.66830397400281,44.66830397400281,57.675554893466995,success,data\raw\sparc_csv\F568-V1.csv
F571-8,13,1436.6500673954008,119.72083894961673,45.16813122860546,40.74075268978822,40.74075268978822,76.78654202857267,success,data\raw\sparc_csv\F571-8.csv
F571-V1,7,108.09139263468587,18.015232105780978,24.781030336885646,23.520903172561905,23.520903172561905,28.926558780142628,success,data\raw\sparc_csv\F571-V1.csv
F574-1,14,584.3752645358973,44.95194342583825,29.58124492065978,27.791000384331337,27.791000384331337,34.39050787426146,success,data\raw\sparc_csv\F574-1.csv
F574-2,5,3.3569881462025783,0.8392470365506446,7.294377305917471,7.0283879765900155,7.0283879765900155,10.67319703006014,success,data\raw\sparc_csv\F574-2.csv
F579-V1,14,144.3666885851545,11.10512989116573,33.233858768089604,32.696695877250605,32.696695877250605,42.781773263712374,success,data\raw\sparc_csv\F579-V1.csv
F583-1,25,582.3545528981563,24.26477303742318,25.384835396048228,22.841989409147367,22.841989409147367,34.55988047492195,success,data\raw\sparc_csv\F583-1.csv
F583-4,12,132.12922258060658,12.01174750732787,15.118342392219414,14.177741928155564,14.177741928155564,23.077782835601717,success,data\raw\sparc_csv\F583-4.csv
IC2574,34,3415.58852090325,103.50268245161364,12.531398248403656,11.222607449052038,11.222607449052038,20.502393088805142,success,data\raw\sparc_csv\IC2574.csv
IC4202,32,1837.4878395556898,59.273801275989996,34.95563639427418,23.53503695065365,23.53503695065365,103.4490504524355,success,data\raw\sparc_csv\IC4202.csv
KK98-251,15,146.59112664091114,10.47079476006508,6.25227695357803,5.526897616681889,5.526897616681889,10.036332687549528,success,data\raw\sparc_csv\KK98-251.csv
NGC0024,29,1376.1027935842158,49.14652834229342,31.194267543984175,28.536174707930858,28.536174707930858,59.22847259370478,success,data\raw\sparc_csv\NGC0024.csv
NGC0055,21,936.2694086048798,46.81347043024399,18.065409977830825,16.194702320453988,16.194702320453988,23.300485853411757,success,data\raw\sparc_csv\NGC0055.csv
NGC0100,21,366.0085971525717,18.300429857628586,23.00232262667925,19.05734017835976,19.05734017835976,37.96642372689736,success,data\raw\sparc_csv\NGC0100.csv
NGC0247,26,3096.8477822688374,123.8739112907535,25.671702086811163,24.949064803282763,24.949064803282763,35.91917404736539,success,data\raw\sparc_csv\NGC0247.csv
NGC0289,28,1257.7762793893066,46.5843066440484,43.42914828878038,41.17328420693125,41.17328420693125,57.803509538724725,success,data\raw\sparc_csv\NGC0289.csv
NGC0300,25,1674.6474117304163,69.77697548876735,29.61572939540768,27.693942764843577,27.693942764843577,40.437072681772676,success,data\raw\sparc_csv\NGC0300.csv
NGC0801,13,679.075234961968,56.58960291349734,37.60164575291856,32.640055972343674,32.640055972343674,68.68792205534706,success,data\raw\sparc_csv\NGC0801.csv
NGC0891,18,3702.436789122042,217.7903993601201,69.8448668223884,51.09748277007302,51.09748277007302,149.794746506911,success,data\raw\sparc_csv\NGC0891.csv
NGC1003,36,6517.462261242786,186.2132074640796,31.812665785503388,29.223123491731243,29.223123491731243,42.56643552474692,success,data\raw\sparc_csv\NGC1003.csv
NGC1090,24,2017.8154014394865,87.73110441041246,24.541993445778626,20.431408424065445,20.431408424065445,38.53633765125599,success,data\raw\sparc_csv\NGC1090.csv
NGC1705,14,701.3836188108015,53.95258606236935,31.90565099898603,31.094144362181275,31.094144362181275,36.7493847397325,success,data\raw\sparc_csv\NGC1705.csv
NGC2366,26,1130.1149817033674,45.2045992681347,12.808431479005046,11.253566989233882,11.253566989233882,18.775293253284573,success,data\raw\sparc_csv\NGC2366.csv
NGC2403,73,135241.617344071,1878.3557964454308,35.18919196032808,25.124898240287873,25.124898240287873,67.36040525764555,success,data\raw\sparc_csv\NGC2403.csv
NGC2683,11,124.84072117064764,12.484072117064764,31.255594584203326,27.08447088205918,27.08447088205918,44.42445854227442,success,data\raw\sparc_csv\NGC2683.csv
NGC2841,50,18587.300200439113,379.33265715181864,83.78544757429435,70.86925123737768,70.86925123737768,152.05471027713415,success,data\raw\sparc_csv\NGC2841.csv
NGC2903,34,7570.381479548008,229.40549938024267,61.205273856683434,51.33737528459348,51.33737528459348,153.82000025275502,success,data\raw\sparc_csv\NGC2903.csv
NGC2915,30,859.4418925025253,29.635927327673286,38.01149358833212,36.61341413707521,36.61341413707521,48.40141640672046,success,data\raw\sparc_csv\NGC2915.csv
NGC2955,24,1386.0411116807272,60.26265702959684,44.1301904093281,36.21088871210378,36.21088871210378,79.8590323509568,success,data\raw\sparc_csv\NGC2955.csv
NGC2976,27,28.23835912277376,1.0860907354912983,3.6805130710190364,3.040653352500568,3.040653352500568,7.47716576209632,success,data\raw\sparc_csv\NGC2976.csv
NGC2998,13,1803.3749890369543,150.28124908641286,33.61401117100317,28.40588588580071,28.40588588580071,55.36284227908189,success,data\raw\sparc_csv\NGC2998.csv
NGC3109,25,2048.5185445854336,85.3549393577264,23.72131270768188,21.864796399899173,21.864796399899173,32.57587034216034,success,data\raw\sparc_csv\NGC3109.csv
NGC3198,43,10268.99126852637,244.4997921077707,34.069754873841845,25.85421438314779,25.85421438314779,61.27940355556542,success,data\raw\sparc_csv\NGC3198.csv
NGC3521,41,1204.7234325107129,30.118085812767823,52.5017407046933,50.598740622395034,50.598740622395034,66.5494842931862,success,data\raw\sparc_csv\NGC3521.csv
NGC3726,12,251.70997433172823,22.88272493924802,34.439592058587195,30.080981987001994,30.080981987001994,57.28794209962406,success,data\raw\sparc_csv\NGC3726.csv
NGC3741,21,1056.6936505692177,52.83468252846088,16.308807385792814,15.288398887628503,15.288398887628503,20.84164347881207,success,data\raw\sparc_csv\NGC3741.csv
NGC3769,12,207.3659482742367,18.851449843112427,32.40418014605774,30.096933497970593,30.096933497970593,47.00236115283717,success,data\raw\sparc_csv\NGC3769.csv
NGC3877,13,280.04171428457465,23.336809523714553,29.17274840611858,24.14392984512867,24.14392984512867,64.07000000000001,success,data\raw\sparc_csv\NGC3877.csv
NGC3893,10,164.77452786662704,18.30828087406967,33.294789974376386,29.219461457909993,29.219461457909993,57.95003744764375,success,data\raw\sparc_csv\NGC3893.csv
NGC3917,17,528.1517181477126,33.00948238423204,23.635916176924113,21.98364128050295,21.98364128050295,38.40751561760369,success,data\raw\sparc_csv\NGC3917.csv
NGC3949,7,196.6133539760421,32.76889232934035,32.02651046077619,28.036515013870893,28.036515013870893,49.16262202506704,success,data\raw\sparc_csv\NGC3949.csv
NGC3953,8,69.07293117977918,9.86756159711131,18.26639069797791,17.322946655904058,17.322946655904058,24.202183713197826,success,data\raw\sparc_csv\NGC3953.csv
NGC3972,10,166.91131448101328,18.545701609001476,20.07258928937466,18.384844389174557,18.384844389174557,34.693818570064565,success,data\raw\sparc_csv\NGC3972.csv
NGC3992,9,511.46500286685756,63.933125358357195,47.74409557142799,44.05068521515654,44.05068521515654,72.25691839126316,success,data\raw\sparc_csv\NGC3992.csv
NGC4010,12,143.11295622050525,13.01026874731866,17.100656746470634,15.287659710855436,15.287659710855436,24.023794782595004,success,data\raw\sparc_csv\NGC4010.csv
NGC4013,36,1961.327725074574,56.03793500213068,37.279455337342135,31.982953693437146,31.982953693437146,62.22578662660696,success,data\raw\sparc_csv\NGC4013.csv
NGC4051,7,104.70544359698778,17.45090726616463,29.682131008832762,27.489778346876484,27.489778346876484,48.0,success,data\raw\sparc_csv\NGC4051.csv
NGC4068,6,24.465802651753645,4.893160530350729,5.674208035520524,4.575569848757543,4.575569848757543,10.948410054258929,success,data\raw\sparc_csv\NGC4068.csv
NGC4085,7,219.1782268360194,36.5297044726699,33.53583468853068,29.69720148014877,29.69720148014877,52.599999999999994,success,data\raw\sparc_csv\NGC4085.csv
NGC4088,12,618.9822136066426,56.271110327876606,50.78850768784896,43.78557717001491,43.78557717001491,87.01993252386183,success,data\raw\sparc_csv\NGC4088.csv
