preferred_name,catalog_name_normalized,RFGC_int,Dist,Re,Z0,z0_over_re,S0,RAJ2000_deg,DEJ2000_deg,Note,has_ned_link_flag,has_simbad_link_flag,source_catalog,_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,RFGC,_RA,_DE,NED,Simbad,biz_name,biz_name_norm,biz_catalog_token,RA_match_deg,DE_match_deg,biz_aname_norm,biz_aname_token,biz_ned_norm,biz_ned_token,matched,match_reason,matched_sparc_name,matched_sparc_index,matched_sep_deg
RFGC0139,RFGC0139,139,72.34,3.18,0.95,0.2987421383647798,18.59,9.338667,29.149083, ,True,True,Bizyaev 2002,119.239026,-33.621663,9.338667,29.149083,8.673801,28.87421,20.591476,22.986731,139,9.3387,29.1491,NED,Simbad,RFGC0139,RFGC0139,,9.338667,29.149083,,,NED,,False,unmatched,,,
RFGC0176,RFGC0176,176,72.01,5.66,1.0,0.1766784452296819,18.78,11.785333,30.341306,x,True,True,Bizyaev 2002,121.832494,-32.521271,11.785333,30.341306,11.112475,30.068541,23.232285,23.163089,176,11.7853,30.3413,NED,Simbad,RFGC0176,RFGC0176,,11.785333,30.341306,,,NED,,False,unmatched,,,
RFGC0183,RFGC0183,183,69.8,8.11,0.92,0.1134401972872996,19.43,12.258958,28.217528,x,True,True,Bizyaev 2002,122.288666,-34.651221,12.258958,28.217528,11.587581,27.945227,22.674126,21.062206,183,12.259,28.2175,NED,Simbad,RFGC0183,RFGC0183,,12.258958,28.217528,,,NED,,False,unmatched,,,
RFGC0206,RFGC0206,206,62.16,1.94,0.77,0.3969072164948454,16.47,13.361583,29.270083, ,True,True,Bizyaev 2002,123.457772,-33.599615,13.361583,29.270083,12.685927,28.998939,24.088325,21.616589,206,13.3616,29.2701,NED,Simbad,RFGC0206,RFGC0206,,13.361583,29.270083,,,NED,,False,unmatched,,,
RFGC0282,RFGC0282,282,91.56,3.69,0.93,0.2520325203252033,18.15,18.593583,50.227083, ,True,True,Bizyaev 2002,126.685444,-12.47743,18.593583,50.227083,17.848832,49.962764,39.10614,38.610531,282,18.5936,50.2271,NED,Simbad,RFGC0282,RFGC0282,,18.593583,50.227083,,,NED,,False,unmatched,,,
RFGC0355,RFGC0355,355,74.42,4.79,0.85,0.1774530271398747,18.96,24.514917,32.493944, ,True,True,Bizyaev 2002,134.2059,-29.355121,24.514917,32.493944,23.802044,32.240022,34.871246,20.711958,355,24.5149,32.4939,NED,Simbad,RFGC0355,RFGC0355,,24.514917,32.493944,,,NED,,False,unmatched,,,
RFGC0363,RFGC0363,363,75.23,5.36,1.02,0.1902985074626865,18.2,25.116417,34.625667,x,True,True,Bizyaev 2002,134.255774,-27.165719,25.116417,34.625667,24.395641,34.372949,36.258361,22.48176,363,25.1164,34.6257,NED,Simbad,RFGC0363,RFGC0363,,25.116417,34.625667,,,NED,,False,unmatched,,,
RFGC0420,RFGC0420,420,74.57,3.1,0.87,0.2806451612903226,17.28,29.77875,36.062611,x,True,True,Bizyaev 2002,137.955271,-24.826969,29.77875,36.062611,29.039001,35.820182,40.653737,22.35805,420,29.7787,36.0626,NED,Simbad,RFGC0420,RFGC0420,,29.77875,36.062611,,,NED,,False,unmatched,,,
RFGC0444,RFGC0444,444,122.18,6.1,1.06,0.1737704918032787,18.41,31.231667,43.154806, ,True,True,Bizyaev 2002,136.89981,-17.71489,31.231667,43.154806,30.457769,42.915886,44.784232,28.494395,444,31.2317,43.1548,NED,Simbad,RFGC0444,RFGC0444,,31.231667,43.154806,,,NED,,False,unmatched,,,
RFGC0485,RFGC0485,485,110.64,5.45,1.16,0.2128440366972477,19.13,33.845167,18.676389, ,True,True,Bizyaev 2002,149.171011,-39.88006,33.845167,18.676389,33.152926,18.4443,37.852178,4.814051,485,33.8452,18.6764,NED,Simbad,RFGC0485,RFGC0485,,33.845167,18.676389,,,NED,,False,unmatched,,,
