r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.12,4.2,3.15,124.12352178865689,131.7841666666667,906.0023148148146,94.21521070913207,2.45205101314829,0.6558304812052232,128256.95467682651,128388.73884349318
0.36,9.41,1.83,111.82596891966686,349.22472222222217,639.7931542252676,81.46549146552404,2.3974211596729322,0.616095420762912,34387.01784672862,34736.24256895084
0.59,15.3,1.37,81.69586463709851,432.4869491525424,294.80128314677165,53.98341272461185,2.2868191044514155,0.521049074307233,10879.740675937495,11312.227625090038
0.83,18.4,1.64,55.305438893201355,487.78132530120484,143.47345094777967,31.813340864322747,2.1962266792259757,0.4259118298637673,3197.389242373047,3685.170567674252
1.07,23.4,2.08,23.156699352536243,501.3542056074767,-1.2858399245840717,0.16928274505947877,2.00273675446189,0.15463977308183866,-0.20212625817538601,501.1520793493013
1.31,28.1,2.46,0.0,487.1641221374045,-119.05081049394056,42.92187009681749,2.2424996826491106,0.4766570505837622,-2441.937109132681,-1954.7729869952766
1.54,33.1,2.01,0.0,445.4003246753246,-140.97355519780498,64.27699309710451,2.3276972168881325,0.5586483651298292,-3446.2304493022093,-3000.8301246268848
1.79,37.5,1.62,0.0,419.4968156424581,-85.86856007029257,49.295760703303664,2.268151273663712,0.5028291139264388,-1652.6888434060515,-1233.1920277635934
2.02,40.5,1.68,0.0,404.1834158415842,-85.84701878361454,57.36216810179495,2.3002296764113073,0.5337243435597641,-1703.8548230389956,-1299.6714071974116
2.26,42.3,1.69,0.0,379.1487168141593,-126.75229039181791,89.25105645071262,2.4303731203943126,0.6405805435893223,-3059.665611234165,-2680.516894420006
2.49,45.2,1.91,0.0,344.60983935742973,-133.46729324117726,102.76484129387623,2.4909325660051795,0.6815800154732551,-3298.9800539817384,-2954.3702146243086
2.74,47.4,1.95,0.0,315.08441605839414,-98.26229159060489,96.1732553400087,2.460770216434086,0.6617802214343703,-2310.012088600388,-1994.9276725419936
2.97,48.1,1.74,0.0,297.4439393939394,-72.86012828756233,87.09569187684127,2.4211334347651436,0.6338769496813972,-1564.617764289164,-1267.1738248952245
3.21,48.8,1.08,0.0,280.84015576323986,-67.01753557344847,90.03344552827463,2.433751701106953,0.6430010119183441,-1406.6641276749747,-1125.8239719117348
3.44,50.7,1.55,0.0,265.9456976744186,-65.84376398281115,95.9904818277516,2.459951984891884,0.661226284126976,-1381.0388737245153,-1115.0931760500966
3.69,52.1,2.78,0.0,249.2351490514905,-62.798806804698636,100.79946684078153,2.481799471911388,0.6757102501994485,-1304.4316036244152,-1055.1964545729247
3.92,53.0,2.98,0.0,235.80227040816328,-62.23834904572452,106.4716075913512,2.508516524017402,0.6925835627764797,-1288.171107701256,-1052.3688372930928
4.16,53.7,2.39,0.0,219.98312499999997,-61.363205395794715,112.27939520553255,2.537125205713764,0.709679368509179,-1266.3046705857892,-1046.3215455857892
4.4,51.2,2.21,0.0,206.3479318181818,-52.795977011494216,110.77575407649873,2.5295843535666487,0.7052676541316054,-1050.8254416679686,-844.4775098497868
4.64,51.6,1.45,0.0,194.64105603448277,-38.922464045849736,100.68924288982842,2.4812909409684045,0.6753802596729687,-706.6219772914304,-511.9809212569477
4.87,51.5,1.84,0.0,188.05437371663243,-29.03364131082436,88.97490069764773,2.4291837995235595,0.6397245958746878,-462.9938510566267,-274.93947733999426
5.11,50.4,2.53,0.0,180.9952446183953,-33.97114461993125,102.47153650900901,2.489561547600325,0.6807056979972003,-582.0177795835161,-401.0225349651208
5.35,48.5,4.6,0.0,171.74822429906544,-40.42010189953407,116.21388558342348,2.5573451109082894,0.7211856557107468,-729.9641488944374,-558.2159245953719
5.59,50.0,5.91,0.0,161.59359570661897,-44.32487585748366,124.96740524459642,2.605262395451527,0.7466652951241302,-810.6155834710517,-649.0219877644327
5.82,49.0,7.42,0.0,150.9155326460481,-40.41425812165963,125.64333561498464,2.6091552203307797,0.7486300121840298,-725.3732876656213,-574.4577550195733
6.06,49.4,5.92,0.0,142.59889438943895,-34.65265940253818,123.26190810606018,2.595571988757615,0.7417075753455808,-600.4399028230098,-457.84100843357083
