galaxy,gamma_topo,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
NGC4088,1e-06,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,0.018061128801054194,0.0001471199785032223,47.03169137242292,47.03169137249147,40.29237110232917,40.29237110238637,46.15742119320178,46.15742119330753,-6.855316314613447e-11,-5.7198690228688065e-11
NGC4088,0.0001,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,0.018061128801054194,0.001471199785032223,47.03169137242292,47.03169137927844,40.29237110232917,40.292371108047526,46.15742119320178,46.15742120377589,-6.855522372006817e-09,-5.7183555668416375e-09
NGC4088,0.01,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,0.018061128801054194,0.014711997850322229,47.03169137242292,47.03169205797522,40.29237110232917,40.2923716741634,46.15742119320178,46.1574222506117,-6.855523011495279e-07,-5.718342279692479e-07
NGC4088,1.0,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,0.018061128801054194,0.1471199785032223,47.03169137242292,47.03175992767303,40.29237110232917,40.29242828572149,46.15742119320178,46.15752693427645,-6.855525010962538e-05,-5.718339232174685e-05
NGC4088,100.0,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,0.018061128801054194,1.4711997850322227,47.03169137242292,47.03854709224584,40.29237110232917,40.29808914244204,46.15742119320178,46.16799612898967,-0.006855719822922879,-0.005718040112867584
NGC4088,10000.0,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,0.018061128801054194,14.711997850322229,47.03169137242292,47.71909211852724,40.29237110232917,40.93252042223239,46.15742119320178,47.22311537066294,-0.6874007461043234,-0.6401493199032231
NGC4088,1000000.0,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,0.018061128801054194,147.1199785032223,47.03169137242292,109.87803718554345,40.29237110232917,96.5229844966,46.15742119320178,203.1090256153119,-62.84634581312053,-56.23061339427083
