galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,use_dimension_proxy,d_eff_proxy,d_eff_ratio,d_eff_g_hat,d_eff_sigma_hat,d_eff_delta,d_eff_boost,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_d_ref,formula_dim_sensitivity,formula_dim_g_power,formula_dim_sigma_power,formula_d_min,formula_d_max,formula_dim_boost_lambda,formula_dim_transition,formula_dim_boost_max,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,formula,,358.6742521001596,584.8990403384649,584.8990403384649,False,False,0.17933712605007981,0.21852715864544348,,,gbar_char_logmean,sigma_char_rms,262.5817073170732,232.41966823803128,0.035075457488867624,0.0,0.10522637246660288,1,True,2.665756994327997,0.4817548065242466,0.41425024361972157,0.199567045967641,0.33424300567200316,1.6307249179824934,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.470753259508571,3.9668974425423134,0.5646244370969524,0.5335457208397473,79.95053882962607,9.993817353703259,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,formula,,1137.0215963268981,2000.0,2000.0,False,True,0.5685107981634491,1.317555099278712,,,gbar_char_logmean,sigma_char_rms,206.5490972222222,189.03041345193063,0.6861718336785013,0.6847961949521497,0.6894576223501202,4,True,1.6524421534282683,3.881058843407953,0.3369159564577057,1.3075906522954277,1.3475578465717317,1.8492307964090766,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,10.338524448125904,9.858170961892187,0.3371336886621589,0.23884934200500835,46.325634128788494,15.441878042929497,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,formula,,641.0187552125847,1185.6782954473026,1185.6782954473026,False,False,0.32050937760629233,0.47169065627013784,,,gbar_char_logmean,sigma_char_rms,70.43799836601308,65.81715615091065,0.7218196110407579,0.7839256224344778,0.7607579426321479,6,True,1.5,12.299337427495662,0.1173083722929547,1.4428152539013328,1.5,1.8496780098954972,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,11.457345541433789,11.438923385550362,0.689790413372927,0.557741084849962,276.32623500445584,55.265247000891165,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,formula,,1256.2498248258153,2000.0,2000.0,False,True,0.6281249124129076,1.6890749968987955,,,gbar_char_logmean,sigma_char_rms,176.89675139275764,177.4202934561785,0.7710903465796488,0.8753884576710766,0.925768354648831,13,True,1.5,5.552305735882949,0.3162228065485126,1.7557657026163107,1.5,1.8496780098954972,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,2.705481566282237,2.3609110741340165,0.08822600698705213,0.044846159149923,33.442968454993434,2.2295312303328956,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,formula,,1388.8237290772013,2000.0,2000.0,False,True,0.6944118645386006,2.2723783549061105,,,gbar_char_logmean,sigma_char_rms,294.89539265251096,254.48699639190355,0.8253595282890076,0.8006544880299105,0.8507816478538749,14,True,1.7107694933276671,3.557352088669404,0.45358166566794433,1.6135496857460092,1.2892305066723329,1.848926718774469,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,18.30065604175569,12.91936713968173,1.010555884841667,0.24096792703569853,219.38049408121137,16.875422621631643,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,formula,,1090.4442422000145,2000.0,2000.0,False,True,0.5452221211000072,1.1988756410465238,,,gbar_char_logmean,sigma_char_rms,113.39115958443993,117.12170534208285,0.9623188600224571,1.0838648373187048,1.0191180077627722,12,True,1.5,9.258943259572185,0.20875038390221753,1.932807959964543,1.5,1.8496780098954972,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,8.758440945025388,8.17933941218375,0.26033772582785314,0.17797526002863853,5486.824662014785,498.80224200134404,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,formula,,1156.3367846198457,2000.0,2000.0,False,True,0.5781683923099229,1.3706142018990375,,,gbar_char_logmean,sigma_char_rms,203.02229299363057,210.89414656458226,0.541660166620015,0.6557907793248289,0.6411251773128881,31,True,1.7731565303866152,3.2348387777397423,0.375884503470159,1.215925767776719,1.2268434696133848,1.8484674278030284,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,7.3394476049439925,5.846594714156555,0.11484611518470267,0.11638944523804881,1138.1772328173245,37.939241093910816,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,formula,,1450.8859403472836,2000.0,2000.0,False,True,0.7254429701736418,2.6422305436230986,,,gbar_char_logmean,sigma_char_rms,349.09260200070753,336.41905162291397,0.6641918097091771,0.8254288600634982,0.7406150898220271,10,True,1.9742796220871273,2.3425361873513992,0.5996122236539007,1.404613332287503,1.0257203779128727,1.8451727322749356,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.426697449578363,3.459707113336825,0.13483416188922653,0.057642724355402374,66.09213855958296,7.343570951064773,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,formula,,1039.0431248189707,1921.8952193107525,1921.8952193107525,False,False,0.5195215624094853,1.0812588490229917,,,gbar_char_logmean,sigma_char_rms,145.149332915392,133.28663783148613,0.8027832655386988,0.8157746113353302,0.8134158076036729,8,True,1.5,6.493821241274076,0.23756174600679492,1.5426835123330818,1.5,1.8496780098954972,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,7.149490540804964,6.738565986432505,0.13961025988784495,0.12647015444435494,270.57346415056315,38.65335202150902,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,formula,,1757.418588873483,2000.0,2000.0,False,True,0.8787092944367415,7.244654817993911,,,gbar_char_logmean,sigma_char_rms,1608.9090643776824,1661.706405566926,0.3267909332387804,0.39724501827031933,0.38358550494993704,12,True,2.8133044715342157,0.24563046358496107,2.9617213058989855,0.7274889773774241,0.1866955284657843,1.414789638962284,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,25.78038901039466,21.518640404375486,0.1581578273070315,0.17792374943179873,1368.4611251125518,97.74722322232513,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\ESO079-G014_rotation_curve.png,ok,
