Structural coupling rotation pipeline run log
started_at: 2026-03-23T14:36:44.633867
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_143644_constant
beta_mode: constant
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------
[OK] CamB | beta=200 | rmse=167.21 | mafe=30.8499
[OK] D512-2 | beta=200 | rmse=32.2419 | mafe=0.958071
[OK] D564-8 | beta=200 | rmse=19.8897 | mafe=1
[OK] D631-7 | beta=200 | rmse=78.0961 | mafe=2.89396
[OK] DDO064 | beta=200 | rmse=155.116 | mafe=8.13044
[OK] DDO154 | beta=200 | rmse=39.6987 | mafe=1
[OK] DDO161 | beta=200 | rmse=85.2041 | mafe=2.3502
[OK] DDO168 | beta=200 | rmse=101.459 | mafe=3.07322
[OK] DDO170 | beta=200 | rmse=53.3812 | mafe=1
[OK] ESO079-G014 | beta=200 | rmse=127.142 | mafe=1.33166
[OK] ESO116-G012 | beta=200 | rmse=161.148 | mafe=2.62531
[OK] ESO444-G084 | beta=200 | rmse=87.9251 | mafe=2.3596
[OK] ESO563-G021 | beta=200 | rmse=166.037 | mafe=1.45178
[OK] F561-1 | beta=200 | rmse=34.1795 | mafe=0.727543
[OK] F563-1 | beta=200 | rmse=79.9971 | mafe=0.968192
[OK] F563-V1 | beta=200 | rmse=40.3359 | mafe=1.89088
[OK] F563-V2 | beta=200 | rmse=150.13 | mafe=3.8216
[OK] F565-V2 | beta=200 | rmse=60.6002 | mafe=1.03824
[OK] F567-2 | beta=200 | rmse=34.834 | mafe=0.76843
[OK] F568-1 | beta=200 | rmse=109.613 | mafe=2.12573
[OK] F568-3 | beta=200 | rmse=89.6765 | mafe=1.98157
