galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC07125,1.44,26.1,3.3,9.09,27.58,0.0,473.06250000000006
UGC07125,2.88,43.0,3.47,16.12,37.24,0.0,642.0138888888889
UGC07125,4.33,48.5,2.35,15.32,39.71,0.0,543.2448036951502
UGC07125,5.76,52.5,2.0,18.34,39.12,0.0,478.515625
UGC07125,7.2,56.4,2.05,17.63,37.66,0.0,441.8
UGC07125,8.64,58.5,2.21,22.27,36.69,0.0,396.09375
UGC07125,10.08,61.5,2.1,25.8,36.12,0.0,375.2232142857143
UGC07125,11.47,64.6,2.01,29.52,34.86,0.0,363.83260680034863
UGC07125,13.0,65.6,2.12,36.98,33.7,0.0,331.0276923076923
UGC07125,14.42,65.4,2.65,38.39,31.99,0.0,296.613037447989
UGC07125,15.84,65.5,3.05,37.89,29.33,0.0,270.84911616161617
UGC07125,17.26,65.1,3.22,39.0,27.53,0.0,245.5393974507531
UGC07125,18.68,64.9,3.48,34.46,26.15,0.0,225.48233404710928
