galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC6674,2.5,206.0,75.0,0.0,122.77,171.6,16974.4
NGC6674,7.49,285.0,8.0,0.0,218.15,99.53,10844.459279038718
NGC6674,12.54,291.0,7.0,0.0,234.07,76.92,6752.8708133971295
NGC6674,17.45,274.0,5.0,0.0,221.55,65.21,4302.349570200573
NGC6674,22.47,266.0,4.0,23.41,205.25,57.46,3148.9096573208726
NGC6674,27.48,255.0,2.0,35.47,190.15,51.96,2366.2663755458516
NGC6674,32.5,250.0,2.0,42.22,174.2,47.78,1923.076923076923
NGC6674,37.51,242.0,2.0,45.59,160.68,44.48,1561.2903225806454
NGC6674,42.42,237.0,2.0,49.68,149.48,41.82,1324.1159830268741
NGC6674,47.44,235.0,2.0,50.91,139.94,39.55,1164.102023608769
NGC6674,52.45,236.0,2.0,48.66,131.98,37.61,1061.8875119161105
NGC6674,57.47,242.0,2.0,50.7,125.25,35.93,1019.0360187924134
NGC6674,62.48,246.0,2.0,51.01,119.5,34.46,968.5659411011524
NGC6674,67.4,242.0,4.0,48.35,114.62,33.18,868.9020771513352
NGC6674,72.41,242.0,5.0,44.77,110.24,32.01,808.7833172213783
