bizyaev_name,bizyaev_name_norm,bizyaev_catalog_token,RAJ2000,DEJ2000,h,z0,z0_over_h,h_over_z0,B/T,Type,thickness_flag,sparc_match_name,sparc_match_reason,match_sep_deg,nearest_sparc_name,nearest_sparc_sep_deg
UGC06667,UGC06667,UGC_6667,175.609558,51.597984,38.34,7.93,0.2068335941575378,4.834804539722573,0.05,SD,thick_like,UGC06667,catalog_exact,,,
NGC04013,NGC04013,NGC_4013,179.63031,43.947365,37.36,14.44,0.386509635974304,2.587257617728532,0.23,UN,thick_like,NGC4013,catalog_exact,,,
NGC04010,NGC04010,NGC_4010,179.65419,47.260159,35.14,9.94,0.2828685258964143,3.535211267605634,0.06,IR,thick_like,NGC4010,catalog_exact,,,
NGC04157,NGC04157,NGC_4157,182.766998,50.485317,46.54,14.28,0.3068328319724968,3.2591036414565826,0.11,SC,thick_like,NGC4157,catalog_exact,,,
NGC04183,NGC04183,NGC_4183,183.320328,43.698582,30.24,9.99,0.3303571428571429,3.0270270270270268,0.08,SD,thick_like,NGC4183,catalog_exact,,,
IC04202,IC04202,IC_4202,197.131577,24.700766,13.3,3.44,0.2586466165413533,3.866279069767442,0.16,SB,thick_like,IC4202,catalog_exact,,,
NGC05907,NGC05907,NGC_5907,228.971832,56.32988,96.24,15.51,0.1611596009975062,6.205029013539652,0.09,IR,intermediate,NGC5907,catalog_exact,,,
