galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
NGC3877,0.87,37.8,9.0,-0.15728635603906752,11928.157356321839,-361.4955241057813,11566.661832216058,101.87,0.0,100.3144844677376,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,1.74,80.1,9.0,-0.15725435095867718,7597.931264367817,-180.7109829780837,7417.220281389733,114.98,0.0,113.60441580157936,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,2.61,121.0,8.5,-0.016401161703441358,5702.681992337165,-12.565079165664237,5690.1169131715005,122.0,0.0,121.86552073239426,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,3.5,142.0,7.3,0.10704462122590515,5055.686628571429,61.15443124920902,5116.841059820637,133.02219062998475,14.630123354648502,133.8243016397703,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,4.37,153.0,6.2,0.09627729452059938,4788.841464530891,44.052805008987576,4832.894269539879,144.6624941026526,13.874824607513988,145.32634984024497,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,5.24,160.0,5.3,-0.011678477287442809,4942.9922328244265,-4.456419434595675,4938.535813389831,160.93874393694017,0.0,160.86617936086725,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,6.11,162.0,5.3,-0.1431909687354506,5463.673486088379,-46.86035162416031,5416.813134464219,182.71027612041968,0.0,181.9250621865398,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,6.98,167.0,4.5,-0.15144213467587977,5458.432234957019,-43.38328422390927,5415.04895073311,195.19184665349113,0.0,194.41461281528484,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,7.85,169.0,5.3,-0.15280517794653953,5077.09025477707,-38.922393616028415,5038.167861161041,199.63756785735495,0.0,198.87085686473566,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,8.72,171.0,4.9,-0.1532452158982584,4718.0817087155965,-35.139984570849506,4682.941724144747,202.8341009297993,0.0,202.07734121999476,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,9.6,171.0,4.9,-0.15372839017903162,4329.252802083332,-32.01945771350812,4297.233344369824,203.86472696373934,0.0,203.10942889474705,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,10.47,170.0,5.7,-0.1503932747559566,3721.239818529131,-28.721879803865495,3692.517938725265,197.38637465640835,0.0,196.6231492435556,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
NGC3877,11.35,169.0,7.0,-0.14571184842121332,3253.0344405286346,-25.670251994779466,3227.364188533855,192.15082851759968,0.0,191.3911793679616,,1999.5447405108202,1999.5447405108202,True,4.5,0.5501704653494427,formula
