galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\CamB_normalized.csv,constant,200.0,computed_from_baryonic_velocity,167.2096053326099,30.84991968360227,9,ok
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D512-2_normalized.csv,constant,200.0,computed_from_baryonic_velocity,32.24188949659481,0.9580712003414783,4,ok
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D564-8_normalized.csv,constant,200.0,computed_from_baryonic_velocity,19.88966063058895,1.0,6,ok
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\D631-7_normalized.csv,constant,200.0,computed_from_baryonic_velocity,78.09612116713942,2.8939551641940566,16,ok
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO064_normalized.csv,constant,200.0,computed_from_baryonic_velocity,155.1156879393003,8.130441429629267,14,ok
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO154_normalized.csv,constant,200.0,computed_from_baryonic_velocity,39.69865656836933,1.0,12,ok
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO161_normalized.csv,constant,200.0,computed_from_baryonic_velocity,85.20405692649794,2.3502021273802174,31,ok
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO168_normalized.csv,constant,200.0,computed_from_baryonic_velocity,101.45926742415556,3.073221274911691,10,ok
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\DDO170_normalized.csv,constant,200.0,computed_from_baryonic_velocity,53.38124670705996,1.0,8,ok
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\ESO079-G014_normalized.csv,constant,200.0,computed_from_baryonic_velocity,127.14238923571163,1.3316597729529716,15,ok
