galaxy,gamma_topo,mean_dw_pert,mean_sigma,mean_beta,r_scale,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
DDO168,37221.71243730676,0.048143220556609245,0.025129852138522812,0.9452501590223938,2.3074512826452187,1.6047740185869748,2.5129852139522812,0.9229805130584875,1.0,37221.71243730676,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.069261383617133,55.58845329592725,19.024813323289894,38.24432631529784,15.826201390734967,25.529918334964048,128.81094172142923,417.25360116198544,-19.219512992007946,-9.70371694422908
ESO563-G021,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,4.545891879704271,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,26,5,2.008788424053411,0.005749287926006286,0.9749421862207205,0.013913114581428892,8.5667304754376,64.78208319473143,64.97701045902545,57.10482145811693,57.35311684570205,67.4922502885804,67.72553588170253,-0.19492726429402296,-0.2482953875851166
IC4202,2387.511282231888,0.009843504928133573,0.005174358578746841,0.9822966617105612,3.5156077328398996,0.3281168309711191,0.5174358579746842,1.4062430931363599,1.0,2387.511282231888,28,5,2.009843504928134,0.005174358578746841,0.9822966617105612,0.01460543666194818,7.559094697142902,37.32068988815855,37.522499509488576,25.941003196887227,25.989959310457007,68.3607217596409,69.39168721338311,-0.20180962133002822,-0.0489561135697798
NGC0100,23197.680047299975,0.02844212586763879,0.016384200503421553,0.9442275882253212,3.733520234736557,0.9480708622879597,1.638420050442155,1.4934080938950227,1.0,23197.680047299975,17,5,2.028442125867639,0.016384200503421553,0.9442275882253212,0.04082427158890896,38.41742898138613,27.477769360087667,35.851538490331365,22.47593038297263,27.791426335133004,22.75170568590904,34.8071398715459,-8.373769130243698,-5.315495952160372
NGC2403,28612.634302670824,0.026765157514591298,0.016460408497649757,0.9275698047405566,4.87089418483742,0.8921719171863766,1.6460408498649757,1.948357673935368,1.0,28612.634302670824,69,5,2.0267651575145913,0.016460408497649757,0.9275698047405566,0.03858429520907272,42.63981806048473,38.14020035207019,42.007895941529455,26.9481844126792,34.40247880383231,2117.2026111001674,1728.0202810268313,-3.8676955894592666,-7.454294391153109
NGC2683,1050.6226449772607,0.00731482131781358,0.00433807407008957,0.9893430140790791,2.4831750476237224,0.24382737729378604,0.43380740710895704,0.993270019049889,1.0,1050.6226449772607,10,2,2.007314821317814,0.00433807407008957,0.9893430140790791,0.011528710645816303,3.8518382677347276,34.69083060476303,34.665850475139074,30.871646941735946,30.846189286175,15.1749967952912,15.164664450254078,0.02498012962395535,0.02545765556094537
NGC2841,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,46,5,2.009442405082594,0.0048364383287650805,0.9860781336480215,0.014028681366889614,5.0384695205876895,88.77406175651149,88.72455472617948,74.28523701151788,74.22709038891405,412.3645809600969,411.943036908688,0.049507030332009094,0.058146622603828746
NGC2998,24400.89841979957,0.020937188184564803,0.018011111299414722,0.9217018089580761,4.852976785523648,0.6979062728521601,1.801111130041472,1.9411907142098592,1.0,24400.89841979957,11,3,2.020937188184565,0.018011111299414722,0.9217018089580761,0.0349228565879832,37.43174301117316,37.33173037461076,33.07088000810972,31.907527665370004,27.584081296323006,200.42843511566008,183.06697358232915,4.260850366501039,4.323446369046998
NGC3198,10009.154791874646,0.01554774782691588,0.009802708952509231,0.9546847746568521,4.925440448033024,0.5182582609305294,0.9802708953509232,1.9701761792136097,1.0,10009.154791874646,39,5,2.015547747826916,0.009802708952509231,0.9546847746568521,0.02360711440219313,19.20473868671946,38.233093369686515,39.305415974589216,28.66609111276689,29.714875459260103,308.0344533964537,298.859904692534,-1.072322604902702,-1.048784346493214
NGC3769,3263.3776581955753,0.011191633752832164,0.007143687318633092,0.9786014324927018,3.0613478007192,0.37305445846107216,0.7143687319633093,1.22453912028808,1.0,3263.3776581955753,10,3,2.011191633752832,0.007143687318633092,0.9786014324927018,0.017899869286877788,8.37321938004699,41.03929160632841,40.90757378966838,37.68828076383251,37.58456593693556,26.748521752640777,26.45224703830054,0.13171781666002857,0.10371482689694744
NGC3917,7120.168297129679,0.018431351234207916,0.010209204109438819,0.9720603122482884,2.837935106623121,0.6143783745069304,1.0209204110438819,1.1351740426496484,1.0,7120.168297129679,14,4,2.0184313512342076,0.010209204109438819,0.9720603122482884,0.027568038440821768,16.005490329882722,26.275307983859516,25.93324282608916,23.910904002915338,23.77644594108789,39.657952050238954,38.65900610806766,0.3420651577703566,0.13445806182744846
NGC4010,9599.484674536558,0.02282320522891294,0.012680058510548578,0.969509334450728,2.4877760922159533,0.7607735076637646,1.2680058511548578,0.9951104368867814,1.0,9599.484674536558,10,3,2.022823205228913,0.012680058510548578,0.969509334450728,0.03426182002871905,19.901501815429736,17.55139775692406,17.52622619878824,15.401422451744116,15.796017900900484,14.345191584623803,13.708244582031892,0.025171558135820504,-0.3945954491563679
NGC4013,483.06540649618285,0.007592545569904541,0.0027560495833138356,0.9952525637310936,1.7313814775909184,0.2530848523634847,0.27560495843138355,0.6925525910367674,1.0,483.06540649618285,32,5,2.007592545569904,0.0027560495833138356,0.9952525637310936,0.010287200192293018,2.169469123324706,39.77498515690112,39.764595390245006,33.98487619687046,33.975164424531286,63.22861127015683,63.20300925932578,0.010389766656111021,0.009711772339173308
NGC4068,1.9038927173051333e-06,0.059335551002116294,0.0,1.0,2.4065160158422776,1.9778517001038765,9.999999999999999e-11,0.9626064063373111,1.0,1.9038927173051333e-06,6,1,2.0593355510021163,0.0,1.0,0.059335551002116294,0.000434254968531777,6.0332781675934655,6.033278172665153,4.801296271137378,4.801296286401139,5.445130931015962,5.445130934262773,-5.071687958491111e-09,-1.5263760921868652e-08
NGC4088,2621.914838957339,0.011750674697382557,0.0066586098581457405,0.983565750571478,2.513237156414226,0.39168915661275194,0.6658609859145741,1.0052948625660905,1.0,2621.914838957339,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,0.018061128801054194,7.533225078408024,47.03169137242292,47.21157048527624,40.29237110232917,40.449114330616126,46.15742119320178,46.43523877425882,-0.17987911285332103,-0.15674322828695608
NGC4157,1912.3277398627456,0.009495841715047248,0.005329119830844942,0.9851836305202313,2.8342270288870623,0.31652805720157495,0.5329119831844942,1.1336908115552249,1.0,1912.3277398627456,14,4,2.0094958417150472,0.005329119830844942,0.9851836305202313,0.01452755127019097,6.014636341979962,41.47400894099612,41.53201781370074,36.94523856803081,36.982788643470315,22.518587028159978,22.5818260875972,-0.05800887270461885,-0.03755007543950484
NGC4183,3619.336453079343,0.012747364075023793,0.006686461283944123,0.9793454926773684,3.1847364327823127,0.4249121358674598,0.6686461284944123,1.273894573113325,1.0,3619.336453079343,19,5,2.012747364075024,0.006686461283944123,0.9793454926773684,0.018822239906857413,9.933388452643477,33.32695447458726,32.68074552194589,31.374016102312698,30.317905799565175,35.62939113587394,34.25999782813495,0.6462089526413735,1.0561103027475234
NGC4389,1e-06,0.02999634518515526,0.0,1.0,1.8107353706870606,0.999878172871842,9.999999999999999e-11,0.7242941482752243,1.0,7.242059095991983e-07,6,1,2.0299963451851553,0.0,1.0,0.02999634518515526,0.00020767482354408813,57.39781645079807,57.397816451093526,56.31212209049402,56.312122090779575,95.84293762891839,95.84293762998935,-2.9545788038376486e-10,-2.8555291464726906e-10
NGC5907,372.23019504921217,0.004999310219954034,0.0024245695336931883,0.9944513939378957,2.3031813366766207,0.16664367403180116,0.24245695346931884,0.9212725346710483,1.0,372.23019504921217,16,4,2.004999310219954,0.0024245695336931883,0.9944513939378957,0.007372093334298645,1.7685352945708548,44.87186077341752,44.864347736036024,38.15277312787822,38.14337348289354,278.20567368565906,278.1106717590445,0.007513037381492893,0.009399644984682709
NGC5985,964.6327874693058,0.008646014756975707,0.0036649277357728494,0.9917109594657451,2.283189162646466,0.28820049193252356,0.36649277367728494,0.9132756650589865,1.0,964.6327874693058,29,5,2.008646014756976,0.0036649277357728494,0.9917109594657451,0.012178262769171635,3.5862103067748237,80.13422110229563,80.10025367834056,79.36502297396683,79.33053300068177,253.88130843550564,253.69023313893132,0.033967423955061804,0.03448997328506209
UGC01281,70206.48119147409,0.05913582566312696,0.028936401246990772,0.9203867682550848,3.077111879822369,1.971194188804232,2.893640124799077,1.2308447519293477,1.0,70206.48119147409,20,5,2.0591358256631267,0.028936401246990772,0.9203867682550848,0.07833495280553933,86.31547717999418,19.039841709046208,70.33155559919996,16.21440390457922,57.348248796147786,18.972876049072816,290.75557881789985,-51.29171389015375,-41.133844891568565
UGC04278,34254.195405780985,0.03481752849346727,0.01908242718480029,0.9338662429972254,3.86672673051297,1.1605842831489088,1.9082427185800288,1.546690692205588,1.0,34254.195405780985,21,5,2.034817528493467,0.01908242718480029,0.9338662429972254,0.04832367299623906,52.54304326170605,27.733839595268694,46.84818575638129,23.36036661759344,32.28119416539695,30.149033019702177,83.9473545421926,-19.114346161112596,-8.920827547803508
UGC05721,56794.25298913335,0.05114285440911246,0.025886691372072425,0.9244146331695466,3.217393244907978,1.7047618136704155,2.5886691373072424,1.2869572979635913,1.0,56794.25298913335,18,5,2.0511428544091124,0.025886691372072425,0.9244146331695466,0.06914342276741321,71.14841501471564,37.70865004362226,37.17566301078551,34.50147014985871,25.254462297475538,71.9269365503235,49.45886328655128,0.5329870328367434,9.247007852383174
UGC05750,16957.418993063642,0.01936662002189582,0.015271622619737357,0.9384597634489551,4.300134098843159,0.6455540007631939,1.5271622620737357,1.7200536395376638,1.0,16957.418993063642,10,2,2.019366620021896,0.015271622619737357,0.9384597634489551,0.03250659699575458,30.3040810665631,21.177236001939548,30.244142672140715,17.68465137815956,20.59210393865473,8.104833924877713,39.60202050491388,-9.066906670201167,-2.9074525604951695
UGC05986,12389.969192114113,0.024764173623042396,0.013878155028829239,0.963969460768185,2.703808413193847,0.8254724541347466,1.387815502982924,1.0815233652779388,1.0,12389.969192114113,13,3,2.0247641736230424,0.013878155028829239,0.963969460768185,0.037040810632000785,24.566689392051018,39.21030770006691,36.80127643246474,35.005928290617334,33.462625297852114,159.98877964927615,143.82237396762295,2.409031267602174,1.54330299276522
UGC06667,14319.745497693219,0.029596809230443943,0.016495796457404177,0.9649984151731847,2.1997755991278245,0.9865603077147981,1.6495796458404175,0.8799102396515298,1.0,14319.745497693219,8,2,2.029596809230444,0.016495796457404177,0.9649984151731847,0.044479291439975956,26.679944872339973,45.17688884804951,35.36399032825879,43.819180397494996,33.29421261675458,214.57156548510218,129.36688449630893,9.812898519790721,10.524967780740418
UGC06917,5391.419389271564,0.021287223407772782,0.010584508631839906,0.9813610287142799,1.794628911656008,0.7095741136257594,1.0584508632839906,0.7178515646628032,1.0,5391.419389271564,10,2,2.021287223407773,0.010584508631839906,0.9813610287142799,0.03127767574130018,12.879348381337593,30.596331189780688,29.486229569079953,28.244821977626014,26.806819892931923,57.79119508699503,53.370842763154904,1.1101016207007355,1.4380020846940909
UGC07089,9025.37142556223,0.023491698467788424,0.012240115071102084,0.9720856412825526,2.3541082460195466,0.7830566156262808,1.2240115072102085,0.9416432984082187,1.0,9025.37142556223,10,3,2.0234916984677884,0.012240115071102084,0.9720856412825526,0.03458177193529798,19.276444447896765,15.229946408036618,14.767837515830347,12.303559329756132,12.924458697851762,7.696393487154574,7.750754858746451,0.4621088922062704,-0.6208993680956301
UGC08490,14862.512219597285,0.024753614694477743,0.013259005270981117,0.9578486181939863,3.396283366859726,0.8251204898492581,1.3259005271981117,1.3585133467442905,1.0,14862.512219597285,26,5,2.0247536146944776,0.013259005270981117,0.9578486181939863,0.03553155812699986,29.03373758699457,38.11435670120881,31.333590203012335,36.39149888289967,29.418081637493405,110.95778925072966,74.98958071773289,6.780766498196478,6.973417245406264
UGC08837,34064.043795854785,0.04852103618796666,0.025204998369271037,0.9500240658916554,2.089010992695987,1.6173678729655554,2.5204998370271037,0.8356043970787947,1.0,34064.043795854785,7,2,2.0485210361879664,0.025204998369271037,0.9500240658916554,0.07004150711213566,50.90240463401088,8.490305533776496,39.77767048539429,6.9506867492881765,31.5814663437834,9.31837127870333,404.3332883028981,-31.287364951617793,-24.630779594495223
UGC12506,905.282025549517,0.005308510329653427,0.0031117287185067786,0.9874688759128565,4.110273924149317,0.17695034435511425,0.31117287195067783,1.644109569660127,1.0,905.282025549517,27,5,2.005308510329653,0.0031117287185067786,0.9874688759128565,0.008245266405948031,3.592199295422501,78.6664731901264,78.54487685695085,77.98599478458165,77.85601123574787,36.1241909455634,36.06745317691287,0.12159633317554608,0.12998354883377772
UGCA281,2.5145354675502295e-06,0.12888396637655353,0.0,1.0,1.463255402256019,4.296132212585118,9.999999999999999e-11,0.5853021609028076,1.0,2.5145354675502295e-06,6,1,2.1288839663765535,0.0,1.0,0.12888396637655353,0.0006359991758417698,7.177529777039661,7.177529765870809,6.688468146271515,6.688468129842728,21.399920300642766,21.399920213882872,1.1168851621334852e-08,1.6428787219524565e-08
