r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.49,13.8,1.6,0.0,337.8034693877552,-135.49764584621732,24.614798720369055,2.1642609781428908,0.38801094816208437,-2681.7992355880615,-2343.995766200306
0.99,21.6,0.8,0.0,270.0546464646465,-146.11639004496158,69.5571689567768,2.3488106642709266,0.576897265404267,-3861.441510479289,-3591.3868640146425
1.48,28.9,0.7,0.0,193.1482432432432,-114.68644645983302,97.72213066156716,2.4677413572777183,0.666463056301241,-3289.7801343284773,-3096.631891085234
1.97,34.3,0.5,0.0,157.66192893401015,-63.50585237427337,92.02959791535172,2.4424345275740156,0.6491470133282338,-1723.9515304091879,-1566.2896014751777
2.47,38.2,0.4,0.0,130.27744939271255,-41.063919480163136,90.95415271006054,2.4377451347075842,0.6458409591895987,-1031.3667570069877,-901.0893076142751
2.96,42.0,0.2,0.0,117.00864864864865,-20.71088774998115,68.3087252117565,2.343801462808246,0.5726371475735028,-386.97438899396803,-269.9657403453194
3.46,44.6,0.2,0.0,109.77367052023122,-20.724501256146816,80.91235514126052,2.3951212176001495,0.6143254364349594,-392.34447038793814,-282.5707998677069
3.95,46.3,0.2,0.0,96.4913924050633,-29.578184663960876,114.3508342591218,2.5476793996586387,0.7157433434873278,-641.0438565586646,-544.5524641536014
4.44,47.4,0.3,0.0,80.78704954954955,-29.15194014661038,126.76880967988187,2.6157054031014786,0.7519015747889986,-625.384161095654,-544.5971115461044
4.94,48.2,0.6,0.0,67.63097165991901,-24.319210345453453,130.78420592841607,2.639816059138058,0.7635813365054307,-504.55447861855754,-436.92350695863854
5.43,47.4,0.7,0.0,56.71103130755065,-20.094138207860002,133.68178333146855,2.658000975140352,0.7720253589728162,-402.8186371888929,-346.1076058813423
5.92,45.5,1.3,0.0,47.93871621621622,-17.90268385986617,138.30216780262978,2.6885531120003776,0.7855385235039553,-347.60055681839964,-299.6618406021834
