r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.39,17.4,30.4,66.61014539411912,387.9348717948718,418.659677410482,56.35025463523731,2.29621494261221,0.5299653270298671,10988.761203655611,11376.696075450483
1.18,46.3,37.1,52.11162481914366,718.6760169491525,151.2466469428008,32.443353875943494,2.1989317596655096,0.4290093526194272,1582.6980858399913,2301.3741027891438
1.95,69.1,13.1,0.0,623.879641025641,-139.02418735744854,58.037716784049714,2.302909710527337,0.5362169267176066,-1657.81484268534,-1033.935201659699
2.74,85.2,6.2,0.0,501.79828467153277,-87.87419457462482,63.40967197621091,2.324244358176415,0.5555899673940796,-1045.266178203303,-543.4678935317703
3.53,93.2,6.2,37.79925086815689,485.03841359773384,-20.149094228919356,17.114700354923503,2.1278871178861443,0.34183075222667403,-80.28391892525242,404.7544946724814
4.3,100.0,12.4,25.974252565346056,470.3656976744186,-39.521513426586225,48.609422627684495,2.26540735586207,0.5000932216396305,-313.4676055050264,156.89809216939216
5.09,108.0,6.2,0.0,423.3848526522593,-64.43435208160214,90.66881001878448,2.4365054394649506,0.6449617711587143,-677.8260676146496,-254.44121496239023
5.87,112.0,6.2,0.0,369.2037649063032,-58.14958933378574,100.49403193890328,2.4803912497564236,0.6747956187792236,-612.3636262672987,-243.15986136099554
6.4,113.0,24.9,22.838787836990978,347.208890625,-30.978598289748668,73.19146180562261,2.3634706423951637,0.5891225213029454,-265.7072922088926,81.50159841610736
7.44,113.0,15.5,33.524880958826394,320.5673655913978,-22.802537804674934,68.875025075909,2.3460721471591035,0.5745735595473719,-169.5031662226504,151.06419936874738
8.21,112.0,13.1,26.937641853428058,305.93629719853834,-26.676338342064106,86.1731326759909,2.417207620533712,0.6309909725346791,-217.5518211177151,88.38447608082325
9.0,111.0,26.4,23.732849664945864,278.9522777777778,-26.14086534010526,95.44683137018302,2.4575235462218123,0.659576899555954,-216.36914964234214,62.58312813543566
9.72,111.0,19.4,42.34502262494591,266.4635905349794,-13.831099042077454,66.19336158555953,2.335339622157081,0.5653430474372403,-81.98818507127764,184.47540546370175
11.79,113.0,12.5,39.08176535267459,240.3635114503817,-16.512035219902916,93.18229803352637,2.4474915254941334,0.6526776544346558,-110.81436954355253,129.54914190682916
17.63,118.0,14.6,17.235126779615403,135.85339194554737,-17.895568408362045,139.81349918127387,2.6990080629105626,0.7899763331478701,-119.00429409475804,16.849097850789335
