galaxy,matched_sparc_name,h_kpc_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
NGC3198,NGC3198,structure_2014_z0,0.32,24.4,63.28,2.1,0.32,44.08,0.32,2.8786653876605253,0.0,0.20302752830954443,1.0,8.286714414114723,2.6517486125167116,0.0001113527249396666,0.005969327598707689,63.28000028154924,-38.88000028154924,38.88000028154924,1511.6544218932693
NGC3198,NGC3198,structure_2014_z0,0.64,43.3,73.66,2.1,0.32,44.08,0.32,2.485438914507254,0.3932264731532711,0.20302752830954443,0.14416258178680974,0.8905508838780797,2.936724895357697,3.0829875610444576e-05,0.00444197257878575,73.66000013393375,-30.360000133933752,30.360000133933752,921.7296081324574
NGC3198,NGC3198,structure_2014_z0,0.96,45.5,78.98,2.1,0.32,44.08,0.31999999999999995,2.340832001322437,0.1446069131848171,0.20302752830954443,0.4905378978427441,2.687899692871961,3.7968527970767245,1.771535050719392e-05,0.004123922463735971,78.98000010766484,-33.480000107664836,33.480000107664836,1120.9104072092375
NGC3198,NGC3198,structure_2014_z0,1.28,58.5,82.70074062546236,2.1,0.32,44.08,0.32000000000000006,2.2632278022748884,0.07760419904754867,0.20302752830954443,0.6823347806068246,3.4950552712159246,4.915270483865821,1.2900184985731831e-05,0.004063525166863957,82.70074072529361,-24.200740725293613,24.200740725293613,585.6758516528848
NGC3198,NGC3198,structure_2014_z0,1.61,68.8,84.22013357861645,2.1,0.32,44.08,0.33000000000000007,2.2130535162839613,0.0501742859909271,0.20302752830954443,0.781038794382769,3.8252201808932598,6.177593143560597,1.0247926591300709e-05,0.004061916027196296,84.22013367656905,-15.420133676569051,15.420133676569051,237.78052260325896
NGC3198,NGC3198,structure_2014_z0,1.93,76.9,83.17001502945638,2.1,0.32,44.08,0.31999999999999984,2.179592462703352,0.033461053580609246,0.20302752830954443,0.8480544572985333,4.028787267456784,7.466805069146767,8.619630539700691e-06,0.004078711431521276,83.1700151294677,-6.270015129467694,6.270015129467694,39.313089723753784
NGC3198,NGC3198,structure_2014_z0,2.24,82.0,87.04126894755154,2.1,0.32,44.08,0.3100000000000003,2.1556782918571247,0.02391417084622738,0.20302752830954443,0.8888846322672612,4.130601462349308,8.747291522475054,7.4962837903863855e-06,0.004097764718778459,87.04126904400968,-5.041269044009681,5.041269044009681,25.414393574090283
NGC3198,NGC3198,structure_2014_z0,2.57,86.9,88.91507521224958,2.1,0.32,44.08,0.3299999999999996,2.136174954043531,0.019503337813593813,0.20302752830954443,0.90840721255386,4.145283248341616,10.115234994427786,6.585339744135337e-06,0.004113918222622785,88.91507530742085,-2.015075307420844,2.015075307420844,4.060528494577208
NGC3198,NGC3198,structure_2014_z0,2.89,97.6,88.99149004258778,2.1,0.32,44.08,0.3200000000000003,2.1212849095633137,0.014890044480217135,0.20302752830954443,0.9292847940470264,4.181641871543452,11.453360393321692,5.896654696577301e-06,0.004128114832839367,88.99149013833477,8.608509861665226,8.608509861665226,74.10644203838744
NGC3198,NGC3198,structure_2014_z0,3.21,100.0,93.81692651115789,2.1,0.32,44.08,0.31999999999999984,2.1092207443304147,0.012064165232898993,0.20302752830954443,0.9423096646171677,4.19215868342231,12.79485117201683,5.339414411707222e-06,0.00413999036974486,93.81692660250346,6.183073397496543,6.183073397496543,38.23039663882944
