galaxy,gamma_topo,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
NGC2841,708034.3627138668,0.3252159637757419,0.055560619591396423,0.9570753448592516,2.917770732084279,2.322465733434182,2.325215963775742,0.002750230341559856,1.0072226876906138,10.840532125891396,5.556061959239642,1.1671082928341117,1.0,708034.3627138668,46,5,2.325215963775742,0.055560619591396423,0.9570753448592516,0.0928386275887217,236.0450235882825,88.77406175651149,57.584495897369465,74.28523701151788,44.05121600059158,412.3645809600969,100.76133709609502,31.18956585914202,30.2340210109263
NGC5985,700764.5775228359,0.3321769517368812,0.06258823112136298,0.9477966809168443,2.283189162646466,2.3744990600072984,2.332176951736881,0.04232210827041749,1.1072083104289745,11.072565057929374,6.258823112236299,0.9132756650589865,1.0,700764.5775228359,29,5,2.332176951736881,0.06258823112136298,0.9477966809168443,0.07847126462532727,247.64906954443222,80.13422110229563,56.79688375684453,79.36502297396683,44.892171726275734,253.88130843550564,82.36123947250165,23.337337345451097,34.472851247691096
NGC4068,9.909583034949466e-06,0.30883597812182817,0.0,1.0,2.4065160158422776,2.308835978121828,2.308835978121828,0.0,1.0,10.294532604094272,9.999999999999999e-11,0.9626064063373111,1.0,9.909583034949466e-06,6,1,2.308835978121828,0.0,1.0,0.0,0.0,6.0332781675934655,6.0332781675934655,4.801296271137378,4.801296271137378,5.445130931015962,5.445130931015962,0.0,0.0
UGCA281,8.763986777529594e-06,0.4492031994547201,0.0,1.0,1.463255402256019,2.44920319945472,2.44920319945472,0.0,1.0,14.973439981857336,9.999999999999999e-11,0.5853021609028076,1.0,8.763986777529594e-06,6,1,2.44920319945472,0.0,1.0,0.0,0.0,7.177529777039661,7.177529777039661,6.688468146271515,6.688468146271515,21.399920300642766,21.399920300642766,0.0,0.0
NGC4389,9.457896986818615e-06,0.39174265079940573,0.0,1.0,1.8107353706870606,2.3917426507994057,2.3917426507994057,0.0,1.0,13.058088360013524,9.999999999999999e-11,0.7242941482752243,1.0,9.457896986818615e-06,6,1,2.3917426507994057,0.0,1.0,0.0,0.0,57.39781645079807,57.39781645079807,56.31212209049402,56.31212209049402,95.84293762891839,95.84293762891839,0.0,0.0
NGC5907,559095.9400597466,0.3430090755973627,0.05289870305960853,0.9763034494564775,2.3031813366766207,2.3443503480739434,2.3430090755973625,0.0013412724765808903,1.0033878406762575,11.433635853278757,5.289870306060853,0.9212725346710483,1.0,559095.9400597466,16,4,2.3430090755973625,0.05289870305960853,0.9763034494564775,0.07157839479294453,180.55169219665365,44.87186077341752,47.960009112699105,38.15277312787822,41.929514472771245,278.20567368565906,288.23713844990635,-3.088148339281588,-3.7767413448930256
UGC08490,165497.62155622002,0.20971862619372814,0.016891199365940635,0.9892373107121228,3.396283366859726,2.2169011775440275,2.209718626193728,0.007182551350299438,1.0316956748568178,6.990620873157605,1.6891199366940632,1.3585133467442905,1.0,165497.62155622002,26,5,2.209718626193728,0.016891199365940635,0.9892373107121228,0.0189789825777208,74.32189494004626,38.11435670120881,43.41729509169257,36.39149888289967,25.43853475335965,110.95778925072966,143.98131429721263,-5.30293839048376,10.952964129540018
ESO563-G021,389277.85801701597,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,26,5,2.1397145687625514,0.03833253165232357,0.9626705549075606,0.04693136968289903,146.8339492661915,64.78208319473143,84.57556103781336,57.10482145811693,55.612126834536035,67.4922502885804,118.59174911812298,-19.79347784308193,1.4926946235808956
UGC12506,462318.41872647067,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,27,5,2.158774276099544,0.0461603986475783,0.9714210517933258,0.04292190226071622,175.88276838787732,78.6664731901264,101.98035107166339,77.98599478458165,52.03796609975379,36.1241909455634,21.36937577621861,-23.313877881536996,25.94802868482786
UGC05721,333054.9345409095,0.2733964929066485,0.028048764215698442,0.9828253889153353,3.217393244907978,2.269648605088409,2.2733964929066484,0.003747887818239537,1.0124330628188267,9.113216430254951,2.804876421669844,1.2869572979635913,1.0,333054.9345409095,18,5,2.2733964929066484,0.028048764215698442,0.9828253889153353,0.04204642477182848,111.77248883929974,37.70865004362226,64.46623887646939,34.50147014985871,54.253444187560035,71.9269365503235,163.66484460602123,-26.757588832847134,-19.751974037701324
NGC3198,341453.7960398461,0.1585133873854354,0.02787892851870515,0.9619206803640303,4.925440448033024,2.191418790955784,2.1585133873854354,0.03290540357034866,1.1765384125988945,5.283779579547847,2.787892851970515,1.9701761792136097,1.0,341453.7960398461,39,5,2.1585133873854354,0.02787892851870515,0.9619206803640303,0.045212378944068085,132.92160649335432,38.233093369686515,73.07149906174254,28.66609111276689,55.74934489294998,308.0344533964537,804.5742744718673,-34.83840569205603,-27.08325378018309
