galaxy,matched_sparc_name,h_kpc_source,v_vis_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),0.82,107.0,33.69309127996421,1.68,0.82,49.99,1.6400000000000001,2.484126156288321,0.0,0.2432927874039356,1.0,6.170882760355787,10.120247726983491,6.471901431592657e-05,0.007284887901612473,33.69309206750832,73.30690793249168,73.30690793249168,5373.902750622812
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),2.46,159.0,82.91915641153135,1.68,0.82,49.99,1.6400000000000001,2.1530444662516377,0.3310816900366831,0.2432927874039356,0.2564461860592858,1.188782061563905,12.069850307948295,8.576303180014818e-06,0.00459322390297234,82.91915653874987,76.08084346125013,76.08084346125013,5788.294741775246
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),4.1,194.0,112.13798330628208,1.68,0.82,49.99,1.6399999999999997,2.087784941064384,0.06525952518725386,0.2432927874039356,0.7647284123846446,3.3333333509234233,17.53651700346271,4.4858431359244295e-06,0.004288584481771364,112.137983388288,81.862016611712,81.862016611712,6701.389763736211
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),5.74,198.0,128.90390994845734,1.68,0.82,49.99,1.6400000000000006,2.0604260643408367,0.027358876723547088,0.2432927874039356,0.8936398140163517,3.7938187589831744,23.758379768195116,3.100712434387907e-06,0.004218778184899816,128.90391001749362,69.09608998250638,69.09608998250638,4774.269650870619
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),7.38,211.0,141.22226594981402,1.68,0.82,49.99,1.6399999999999997,2.0455787014270435,0.014847362913793294,0.2432927874039356,0.9407980931986797,3.936668225282401,30.214515657658254,2.385455771622023e-06,0.004195791176234886,141.22226601214365,69.77773398785635,69.77773398785635,4868.932160480043
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),9.02,222.0,157.50236347433014,1.68,0.82,49.99,1.6399999999999997,2.03633658564693,0.009242115780113469,0.2432927874039356,0.9627248521355897,3.9920990760283743,36.76155814234479,1.9428948236744487e-06,0.004186276544800108,157.50236352996393,64.49763647003607,64.49763647003607,4159.945110220927
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),10.65,230.0,169.21796240352265,1.68,0.82,49.99,1.6300000000000008,2.0300981275848846,0.006238458062045371,0.2432927874039356,0.974684186731592,4.016964386712867,43.30921009268677,1.6419105856294218e-06,0.004181668056763155,169.2179624551908,60.782037544809214,60.782037544809214,3694.456088098597
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),12.29,239.0,175.92891888487236,1.68,0.82,49.99,1.6399999999999988,2.0255750106159933,0.004523116968891294,0.2432927874039356,0.9815805015463022,4.027379766496149,49.914112909740446,1.420980266769003e-06,0.00417897684590272,175.92891893450562,63.07108106549438,63.07108106549438,3977.961266770164
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),13.93,237.0,177.92775640691926,1.68,0.82,49.99,1.6400000000000006,2.02217432417091,0.0034006864450835117,0.2432927874039356,0.986119482397014,4.032428937476616,56.5272963672021,1.2526346962943579e-06,0.0041772241164893704,177.92775645595378,59.072243544046216,59.072243544046216,3489.52995732711
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),15.57,240.0,180.6274710557616,1.68,0.82,49.99,1.6400000000000006,2.0195308228200743,0.0026435013508354643,0.2432927874039356,0.9891933018171891,4.034429574511295,63.14376086940062,1.1200094203954407e-06,0.004175948595894951,180.62747110403373,59.37252889596627,59.37252889596627,3525.0971875023497
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),17.21,245.0,182.46059574604047,1.68,0.82,49.99,1.6400000000000006,2.0174210431421606,0.0021097796779137035,0.2432927874039356,0.9913657189719414,4.03484624802976,69.76090871616944,1.012788692841812e-06,0.004174936335299927,182.46059579380446,62.53940420619554,62.53940420619554,3911.177078465909
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),18.85,249.0,181.5118676560847,1.68,0.82,49.99,1.6400000000000006,2.015700882509889,0.00172016063227165,0.2432927874039356,0.992954604597643,4.034424253625172,76.37736449211472,9.242945980513288e-07,0.004174081117236169,181.51186770407867,67.48813229592133,67.48813229592133,4554.64800079178
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),20.49,248.0,178.51256202295679,1.68,0.82,49.99,1.639999999999997,2.0142734009862933,0.0014274815235957306,0.2432927874039356,0.9941498391409821,4.033561491864587,82.99240533877263,8.500077599941558e-07,0.004173327090257873,178.51256207173952,69.48743792826048,69.48743792826048,4828.504029833853
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),22.13,250.0,175.417465778069,1.68,0.82,49.99,1.6400000000000006,2.0130710782672034,0.0012023227190898211,0.2432927874039356,0.9950703152567661,4.032477839750643,89.60566899596368,7.867579034429382e-07,0.00417264333524832,175.41746582769616,74.58253417230384,74.58253417230384,5562.55440356287
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),23.77,255.0,171.61761040173005,1.68,0.82,49.99,1.6400000000000006,2.012045496017805,0.0010255822493983047,0.2432927874039356,0.9957934484514859,4.031297581506491,96.21699702963433,7.32254232120059e-07,0.004172011876480435,171.61761045244072,83.38238954755928,83.38238954755928,6952.6228866609235
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),25.41,244.0,167.436175899953,1.68,0.82,49.99,1.6400000000000006,2.011161063954405,0.0008844320634002756,0.2432927874039356,0.9963713415032158,4.030091740401247,102.82634748389238,6.847996581846575e-07,0.00417142173778583,167.43617595191537,76.56382404808463,76.56382404808463,5862.019152866062
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),27.05,244.0,164.22317010702233,1.68,0.82,49.99,1.6400000000000006,2.010391058050907,0.0007700059034978501,0.2432927874039356,0.9968400679411958,4.028900796715209,109.43374479050532,6.431098740255403e-07,0.004170865868424789,164.2231701599872,79.7768298400128,79.7768298400128,6364.342579322356
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),28.68,249.0,162.0728740412781,1.68,0.82,49.99,1.629999999999999,2.009718907746735,0.0006721503041720034,0.2432927874039356,0.9972410909356665,4.027826936967948,115.99910269776306,6.064078175184419e-07,0.004170344854616811,162.0728740949323,86.9271259050677,86.9271259050677,7556.325218115491
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),30.32,251.0,160.28451266419972,1.68,0.82,49.99,1.6400000000000006,2.009120542625892,0.0005983651208429919,0.2432927874039356,0.9975435774024821,4.0266498444474665,122.60280844265691,5.734697051845233e-07,0.004169844296996561,160.28451271843952,90.71548728156048,90.71548728156048,8229.299632730963
