galaxy,source_file,beta_mode,beta,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,structural,398.63446615665885,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.452109056717481,3.83094007402283,0.5578603889119036,0.5335457208397473,79.28510021162325,9.910637526452906,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,structural,1048.846996936973,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,3.311628160607276,2.4384772171474234,0.09160519228042795,0.04812264301686133,5.400511562303815,1.8001705207679384,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,structural,421.47154527124695,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,2.5479111298628467,2.0482015909045264,0.15843682647671714,0.06657226795770127,16.609349831978943,3.3218699663957887,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,3.948169727322432,3.5188719278446454,0.10677669852798126,0.08452872481628693,40.71040882505872,2.7140272550039146,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,structural,1069.3049935107915,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,11.223705013653124,8.996889435046679,0.6137475195299844,0.1647175191423581,79.03595190786012,6.079688608296933,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,structural,1521.0229034026474,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.581736897421053,3.760875622156538,0.1356528647148458,0.06464789906432139,802.145902927089,72.92235481155355,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,8.256104322506715,6.543620718102705,0.12553153362918704,0.13367080008597299,1472.9687059907983,49.09895686635994,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.8983433932367575,4.446304791454667,0.1492550502756947,0.09347866813738195,66.69981377557131,7.411090419507924,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,7.441090901869129,7.003408412005838,0.14406393182854213,0.13183522258661975,299.36785461500637,42.76683637357234,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,26.11859200476282,21.775316207544748,0.15931635278726242,0.17946787752522952,1398.8548325686852,99.91820232633465,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\ESO079-G014_rotation_curve.png,ok,
