galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
DDO168,1,0.41,2.06,1.235,1.6500000000000001,0.35,2.073273072695132,22.801932483717632,29.560000000000002,1.8199999999999998,5,4.12,0.41,2.3074512826452187,0.43337859720861316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.801932483717632,DDO168_segment_structure_v8_2.csv
DDO168,2,2.47,4.12,3.295,1.65,0.35,2.0230133684180864,28.378055993417775,53.36,2.06,5,4.12,0.41,2.3074512826452187,0.43337859720861316,0.050259704277045625,0.8905003180447876,0.0025260378740160783,0.0022494375302044966,0.003711571924837419,1.4703048770038296e-09,6.960355285276477e-05,28.378055993503136,DDO168_segment_structure_v8_2.csv
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35000000000000003,2.03010047535154,133.77833333333334,101.05,6.423333333333333,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,133.77833333333334,ESO563-G021_segment_structure_v8_2.csv
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35000000000000003,2.007271578606507,237.24166715144466,270.8333333333333,5.251666666666668,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.022828896745032967,0.901425665377484,0.0005211585265953768,0.0004697856716033867,0.002945556160953235,1.5904177449119725e-10,3.767556021260912e-05,237.24166715144764,ESO563-G021_segment_structure_v8_2.csv
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35000000000000003,2.003279495107795,278.4423539022395,314.6666666666667,13.983333333333334,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.003992083498712162,0.982016095767664,1.593673066068994e-05,1.5650126022711558e-05,0.003078582232146283,4.231121020572656e-11,2.7358459542512677e-05,278.4423539022409,ESO563-G021_segment_structure_v8_2.csv
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35000000000000003,2.0019365354797065,252.23871582961138,313.1666666666667,9.881666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0013429596280882805,0.9939136480701711,1.8035405626750128e-06,1.792563580090851e-06,0.003093819022577055,1.7057421791386912e-11,2.1826905200541748e-05,252.23871582961232,ESO563-G021_segment_structure_v8_2.csv
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35000000000000003,2.0013540357215085,209.86750819634457,316.8333333333333,9.916666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0005824997581980185,0.9973555218882836,3.3930596830075e-07,3.384086810944039e-07,0.0030966954963663573,9.146230142144676e-12,1.8682080778763397e-05,209.8675081963454,ESO563-G021_segment_structure_v8_2.csv
IC4202,1,0.77,5.5,3.135,4.73,0.35000000000000003,2.028554327113041,185.46424308097198,141.28571428571428,3.8814285714285712,7,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0,1.0,0.0,0.0,0.0,0.0,0.0,185.46424308097198,IC4202_segment_structure_v8_2.csv
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,0.35000000000000003,2.0088826534259168,226.0905499053524,236.0,4.985,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.01967167368712408,0.9331793305044864,0.00038697474565268993,0.0003611168340703211,0.001433633831259175,9.048246854705679e-11,2.733007094494915e-05,226.09054990535404,IC4202_segment_structure_v8_2.csv
IC4202,3,11.02,14.59,12.805,3.5700000000000003,0.35000000000000003,2.00527323534315,242.07131385357616,243.16666666666666,6.103333333333333,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0036094180827666023,0.987390871563309,1.3027898896202535e-05,1.286362844576009e-05,0.0014795569848105384,3.880903872289425e-11,2.2292369565541048e-05,242.07131385357718,IC4202_segment_structure_v8_2.csv
