TrackName,Name,ID,On,InfoFlags_raw,InfoFlags_str,has_empirical_track,has_D,has_pm,has_vrad,has_empirical_track_from_flag,has_D_from_flag,has_pm_from_flag,has_vrad_from_flag,length,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,width_phi2,width_pm_phi1_cosphi2,width_pm_phi2,n_track_points,n_mid_points,n_end_points,availability_score,availability_score_from_flag,halo_usefulness_label
20.0-1-M18,20.0-1,1.0,True,0,0000,0,0,0,0,0,0,0,0,36.6197564151311,298.18216814851223,-29.91315915739285,26.83994786642687,235.75857510639696,38.82188065837841,1.8,-9.0,-9.0,3660,1,2,0,0,D_minimal
300S-F18,300S,2.0,True,1101,1101,1,1,0,1,1,1,0,1,11.084050035883632,157.51043124647902,15.343948560876,15.929408526687904,308.0564701505804,72.50938813171143,0.4,-9.0,-9.0,1108,1,2,3,3,B_partial_dynamic
AAU-ATLAS-L21,AAU-ATLAS,3.0,True,1111,1111,1,1,1,1,1,1,1,1,23.561679820019336,19.83735580474365,-26.863125248564497,21.478243775239648,74.25906739590538,47.93312434806639,0.3,0.14,0.13,2350,1,2,4,4,A_full_6D_like
AAU-AliqaUma-L21,AAU-AliqaUma,4.0,True,1111,1111,1,1,1,1,1,1,1,1,9.677187191198756,20.29300371880518,-26.23355186572417,21.98194313907916,74.25906739590538,47.93312434806639,0.26,0.16,0.09,950,1,2,4,4,A_full_6D_like
ACS-R21,ACS,5.0,True,1110,1110,1,1,1,0,1,1,1,0,57.66413634261946,128.51898202124207,52.59559991950584,11.699999999999994,212.30163850594292,-4.733141452813517,2.1,-9.0,-9.0,5744,1,2,3,3,B_partial_dynamic
ATLAS-I21,AAU-ATLAS,,False,1111,1111,1,1,1,1,1,1,1,1,18.11524327341305,25.81911715971101,-30.33120453253332,24.642129541727822,80.54484247050658,44.6260765453759,0.35,0.31,0.27,0,0,0,4,4,A_full_6D_like
ATLAS-I24,AAU-ATLAS,,False,1111,1111,1,1,1,1,1,1,1,1,40.7916732528738,20.68949141366402,-27.386696721481457,1.0,76.34323165442085,47.43968531038728,0.41,0.23,0.25,0,0,0,4,4,A_full_6D_like
Acheron-G09,Acheron,6.0,True,0,0000,0,0,0,0,0,0,0,0,36.53209164130622,244.604605842248,10.300418553972731,3.656381685929916,142.33942832888778,49.453184084738695,0.4,-9.0,-9.0,200,1,2,0,0,D_minimal
Alpheus-G13,Alpheus,7.0,True,1100,1100,1,1,0,0,1,1,0,0,24.216057808776853,24.95547707814855,-56.984491954755576,1.8002637451402963,301.5714070423531,4.28071854481944,1.4,-9.0,-9.0,2420,1,2,2,2,C_position_only_plus
Aquarius-W11,Aquarius,8.0,True,1111,1111,1,1,1,1,1,1,1,1,12.37414457982118,344.9064233935819,-8.78238980891426,4.0886295820662015,47.762970869740776,70.95362916309949,3.78,14.31,32.75,1208,1,2,4,4,A_full_6D_like
C-10-I24,C-10,9.0,True,1111,1111,1,1,1,1,1,1,1,1,14.768667124010776,145.87052300925814,1.7934876361964092,1.0000000000000009,55.688623430228965,5.743018048839959,0.53,0.4,0.38,1441,1,2,4,4,A_full_6D_like
C-11-I24,C-11,10.0,True,1111,1111,1,1,1,1,1,1,1,1,35.03272272625439,106.66600286938665,47.989152700665215,1.0000000000000002,346.2172321783179,24.733491853731937,2.2,0.69,0.66,3009,1,2,4,4,A_full_6D_like
C-12-I24,C-12,11.0,True,1111,1111,1,1,1,1,1,1,1,1,28.10871697058951,96.4532835417892,-29.802343297830244,1.0,108.93910628132724,59.60464435638812,0.8,0.61,0.43,2742,1,2,4,4,A_full_6D_like
C-13-I24,C-13,12.0,True,1111,1111,1,1,1,1,1,1,1,1,23.22823477018179,34.23616547680704,44.11212651340089,1.0000000000000002,129.10002268017254,5.106115518452886,0.6,0.59,0.59,2080,1,2,4,4,A_full_6D_like
C-19-I21,C-19,13.0,True,1010,1010,1,0,1,0,1,0,1,0,29.73075053772676,354.98633167946286,21.269701513542334,18.0,85.91694440535736,2.2861562523035257,0.76,0.21,0.34,2855,1,2,2,2,C_position_only_plus
C-19-I24,C-19,,False,1111,1111,1,1,1,1,1,1,1,1,18.50978979744317,354.88209903967726,26.97841826673088,1.0000000000000009,265.9303717454987,-2.076769484314433,0.63,0.17,0.12,0,0,0,4,4,A_full_6D_like
C-20-I24,C-20,14.0,True,1111,1111,1,1,1,1,1,1,1,1,17.278203971538737,358.00227197299165,11.581386047246276,0.9999999999999998,95.289269581105,31.756333671192017,0.04,0.23,0.16,1727,1,2,4,4,A_full_6D_like
C-22-I24,C-22,15.0,True,1111,1111,1,1,1,1,1,1,1,1,10.148674838746246,199.27362753331096,16.96465760767232,1.0000000000000009,54.233679325285074,69.58125517879857,0.36,0.22,0.32,1014,1,2,4,4,A_full_6D_like
C-23-I24,C-23,16.0,True,1111,1111,1,1,1,1,1,1,1,1,20.52291535937776,195.12209276345897,44.23653230716285,1.0,303.8913419857476,18.28279095329105,0.31,0.19,0.21,2047,1,2,4,4,A_full_6D_like
C-24-I24,C-24,17.0,True,1111,1111,1,1,1,1,1,1,1,1,37.46243393881154,153.23227372071509,52.08877365737246,1.0000000000000002,38.53206349307162,18.03144166828153,0.81,0.32,0.54,3698,1,2,4,4,A_full_6D_like
C-25-I24,C-25,18.0,True,1111,1111,1,1,1,1,1,1,1,1,28.316731429081173,111.32037464009082,39.82585503943442,1.0,309.8668340737037,48.53376721355068,2.65,0.57,0.27,2558,1,2,4,4,A_full_6D_like
C-4-I21,C-4,19.0,True,1110,1110,1,1,1,0,1,1,1,0,13.556859976794671,226.5603284720653,82.67378275022635,3.553959729358464,5.943231432893061,5.587262313917085,0.55,0.45,0.32,1344,1,2,3,3,B_partial_dynamic
C-5-I21,C-5,20.0,True,1111,1111,1,1,1,1,1,1,1,1,6.1147332236628,116.65843086104648,35.21409854912786,4.29986341538193,254.7616214624925,46.52459432999039,0.11,0.1,0.31,611,1,2,4,4,A_full_6D_like
C-7-I21,C-7,21.0,True,1111,1111,1,1,1,1,1,1,1,1,24.933248818411823,289.9278184010252,-49.36668042514621,5.726281612390426,257.3337908257544,35.86337298963044,0.73,0.83,0.76,2493,1,2,4,4,A_full_6D_like
C-7-I24,C-7,,False,1111,1111,1,1,1,1,1,1,1,1,33.68828326903751,289.5289256948638,-49.34615079210954,0.9999999999999996,256.91957602636745,35.88448128181013,0.7,0.78,0.64,0,0,0,4,4,A_full_6D_like
C-8-I21,C-8,22.0,True,1110,1110,1,1,1,0,1,1,1,0,10.245352481574312,341.0986546710247,-77.35355016960774,3.438848673031061,258.2583703994293,1.5903315226646897,0.3,0.32,0.5,997,1,2,3,3,B_partial_dynamic
C-9-I24,C-9,23.0,True,1111,1111,1,1,1,1,1,1,1,1,33.68071517159925,152.1951351643996,17.189362253697702,1.0000000000000002,273.3831638789729,53.32348251998048,2.74,0.37,0.35,2432,1,2,4,4,A_full_6D_like
Cetus-New-Y21,Cetus-New,24.0,True,1110,1110,1,1,1,0,1,1,1,0,67.76718807479222,25.798157670085228,-34.095782037016626,18.4677251124595,114.76274917951936,1.794739695852563,3.16,0.57,0.44,6688,1,2,3,3,B_partial_dynamic
Cetus-Palca-T21,Cetus-Palca,25.0,True,1110,1110,1,1,1,0,1,1,1,0,101.209357267844,22.203187904848903,-6.680627296443707,33.39126164754218,125.1809832,15.91290743,4.4,0.12,0.23,10346,1,2,3,3,B_partial_dynamic
Cetus-Palca-Y21,Cetus-Palca,,False,1110,1110,1,1,1,0,1,1,1,0,152.20187990676646,25.98322500916843,-22.479593387177005,39.10364828725673,105.66490786281778,12.442173172740906,6.25,0.28,0.27,0,0,0,3,3,B_partial_dynamic
Cetus-Y13,Cetus,26.0,True,1100,1100,1,1,0,0,1,1,0,0,30.1097943384106,25.70827519781234,9.82383774613772,30.6209618660252,291.4294930423592,23.31092975898008,9.4,-9.0,-9.0,3011,1,2,2,2,C_position_only_plus
Chenab-S19,Orphan-Chenab,,False,1011,1011,1,0,1,1,1,0,1,1,10.113636429667553,326.87950512441967,-51.66703523455629,39.8,255.5149674897775,14.36298489575702,0.19,0.01,0.02,0,0,0,3,3,B_partial_dynamic
Cocytos-G09,Cocytos,27.0,True,0,0000,0,0,0,0,0,0,0,0,75.1397042931387,221.2110986696777,10.529429982603457,11.0,103.52716616811006,68.19509334162281,0.3,-9.0,-9.0,200,1,2,0,0,D_minimal
Corvus-M18,Corvus,28.0,True,0,0000,0,0,0,0,0,0,0,0,72.95965436940455,178.2067594705406,-14.39531812674777,8.707238875177259,198.97012173522185,74.64953305775337,1.6,-9.0,-9.0,7205,1,2,0,0,D_minimal
Elqui-S19,Elqui,29.0,True,1011,1011,1,0,1,1,1,0,1,1,10.939632803078672,15.457258121866186,-39.74996941458061,50.10000000000001,64.04744268022733,38.48741891493707,0.41,0.18,0.18,1094,1,2,3,3,B_partial_dynamic
Eridanus-M17,Eridanus,30.0,True,1000,1000,1,0,0,0,1,0,0,0,0.5999993937593776,66.18546642577654,-21.18682618716746,95.0,353.0567157868175,36.82203676731035,0.1,-9.0,-9.0,60,1,2,1,1,D_minimal
Fimbulthul-I21,Fimbulthul,,False,1111,1111,1,1,1,1,1,1,1,1,38.81190599723941,201.601201354055,-26.05446262615453,4.115888447815694,144.41961604279314,47.91748286001399,1.62,1.3,0.97,0,0,0,4,4,A_full_6D_like
Fimbulthul-I24,OmegaCen-Fimbulthul,,False,1111,1111,1,1,1,1,1,1,1,1,53.556704800320354,290.0873423893669,-54.381181795399314,1.0000000000000009,353.2824784568677,22.22442211138529,3.52,1.31,1.78,0,0,0,4,4,A_full_6D_like
Fjorm-I21,M68-Fjorm,,False,1111,1111,1,1,1,1,1,1,1,1,141.4181356108047,200.43337275804183,22.49102807072872,5.801630559281567,103.57345884781896,16.121942438158072,1.21,0.94,0.54,0,0,0,4,4,A_full_6D_like
Fjorm-I24,M68-Fjorm,,False,1111,1111,1,1,1,1,1,1,1,1,105.3162482546608,205.97375741809887,35.86313170463314,1.0000000000000004,102.50820936996782,17.87666380435929,1.39,0.48,0.54,0,0,0,4,4,A_full_6D_like
GD-1-I21,GD-1,31.0,True,1111,1111,1,1,1,1,1,1,1,1,102.52109985505336,148.14590426569234,35.43732836633419,7.620636575836133,34.78577977781821,29.13133331909712,0.65,0.46,0.38,10209,1,2,4,4,A_full_6D_like
GD-1-I24,GD-1,,False,1111,1111,1,1,1,1,1,1,1,1,119.53775488702593,146.7025988451614,33.76347807731619,1.0,35.12127699050831,28.826755309518457,0.54,0.58,0.38,0,0,0,4,4,A_full_6D_like
