r_kpc,v_obs,v_model
0.6,16.0,17.14096624518494
0.73,16.6,18.16849578594847
0.85,18.6,19.772235334670484
0.98,20.0,22.222743834317434
1.07,21.4,22.557665028366305
1.54,28.9,27.6238064097595
2.02,32.9,31.004192075505124
2.49,35.2,33.135382082833026
2.96,37.6,34.27927780302373
3.43,40.6,34.75675062940289
3.9,42.7,35.34682859669957
4.37,45.5,35.558230894490414
4.86,48.9,35.63106382044867
5.34,51.5,35.5773028692006
5.81,53.0,35.4170560397026
6.28,55.0,35.50762696278213
6.75,57.6,35.60011349871236
7.22,59.7,35.85051630146608
7.69,60.5,36.270271106479186
8.16,61.8,36.711244519994814
8.64,62.9,36.936427711557485
9.11,63.0,37.207961811857224
9.58,64.5,37.102838206230636
10.05,65.6,36.88288402846465
10.52,67.5,36.15476336100763
10.99,66.8,35.32814663570243
11.46,66.8,34.38039978675199
11.94,66.6,33.449961692856135
12.41,66.8,32.537047428501985
12.9,66.3,31.75737515060519
13.37,66.1,30.843725994355957
