r_kpc,v_obs,v_model
0.85,10.3,10.73956189703014
1.14,12.9,12.718784528048486
1.42,16.4,14.267270468241998
1.71,18.6,16.0529217777639
1.99,19.8,17.720224780206003
2.28,26.1,18.72067935958568
2.55,27.7,19.902558190364857
2.84,29.7,20.66961157899551
3.13,33.0,21.362063588732376
3.41,34.8,21.74308458988238
3.7,35.0,21.593339322463226
3.98,39.0,21.76126488676627
4.26,35.9,22.941809427825447
4.55,40.0,25.228453796066688
4.84,38.7,27.38092613144151
5.12,41.8,28.35856328560737
5.41,42.9,28.905290239329805
5.68,44.4,29.969629998945734
5.97,46.1,30.811440951444805
6.26,49.0,31.738072493148437
6.54,51.9,32.41357244271266
6.83,53.1,32.33243245332778
7.1,54.0,32.481011883712355
7.39,55.9,32.700131639167566
7.68,58.8,33.29970729251041
7.96,57.3,33.72119240006001
8.25,54.0,33.97121182499335
8.52,63.8,33.81274672716753
8.81,60.5,33.94615057015201
9.1,61.0,34.194762151757935
9.38,66.0,34.8100205179154
9.67,65.2,35.80472974693879
9.96,67.1,35.77414609435785
10.23,67.5,36.22333985793028
