r_kpc,v_obs,v_model
1.33,175.0,162.0517272486819
2.34,237.0,217.529820832805
3.33,247.0,250.83652283100565
4.34,242.0,269.66109697084437
5.35,240.0,278.8172941598278
6.34,233.0,287.2588753429184
7.34,233.0,291.1951151895407
8.32,247.0,291.30713569132575
9.34,248.0,289.4486273850261
10.38,242.0,289.99490284910996
11.36,252.0,288.65689605650226
12.34,245.0,286.5193257884012
13.32,247.0,286.9601093621909
14.3,238.0,289.3041069719936
15.47,249.0,292.7386575393874
16.35,250.0,293.01340780448425
17.92,253.0,292.8588590709981
19.1,258.0,293.4185295202384
22.52,254.0,286.1900789991172
26.05,256.0,267.99013907936757
29.48,255.0,249.9980900403637
33.0,244.0,235.04478751637097
36.43,246.0,225.71143070559242
