r_kpc,v_obs,v_model
0.14,5.23,19.206030796581253
0.42,15.4,21.919103931998418
0.69,24.4,25.194143393340756
0.97,32.1,27.679145620296204
1.25,34.6,28.89979354702753
1.52,37.9,29.39492018078525
1.8,40.5,29.96176788772481
2.07,43.0,29.906052716894294
2.35,45.1,30.057557642430815
2.63,45.6,30.479220307641278
2.91,49.2,31.702269540003915
3.19,50.3,32.87735250563576
3.46,53.7,33.90135269493418
3.74,58.0,34.503937029028265
4.01,64.4,34.78169473206234
4.29,67.5,35.18217455899268
4.57,71.3,34.95561315115624
4.85,75.6,34.75899846304256
5.13,80.0,36.98428390412542
5.4,82.8,39.96631250649111
5.68,84.8,43.48718819025889
5.86,86.3,45.50715444147628
6.36,90.2,51.42132712447783
6.51,91.3,51.96175559818876
6.69,92.8,50.812536966063995
