r_kpc,v_obs,v_model
0.09,16.5,65.37090127640258
0.27,38.5,50.247863739512745
0.45,47.4,6.708203932499369e-07
0.63,55.5,7.937253933193772e-07
0.81,56.4,9.000000000000001e-07
0.99,59.8,17.076589381885707
1.17,67.8,28.231397077370975
1.35,76.4,29.007158272040492
1.53,81.2,32.556265455073735
1.71,82.2,33.461868214617375
1.89,82.6,31.410867174378254
2.07,82.3,28.815284661203627
2.25,82.1,31.508797481285892
2.67,81.4,31.969072502655486
3.15,79.3,32.04034906596894
3.61,78.5,31.04937750150881
4.04,78.2,30.655948930880406
4.49,78.1,30.866317301142562
4.93,78.2,31.496268992318246
5.38,78.3,31.721166919756257
5.86,78.6,31.208552996892
6.28,78.9,30.700129473962615
6.74,79.5,30.342826539426845
