r_kpc,v_obs,v_model
0.76,77.0,89.74032863276896
1.52,100.0,127.58771509726625
2.28,110.0,136.57535739307926
3.04,118.0,126.45291898252844
3.79,121.0,116.6977488850687
4.55,121.0,108.67419112655813
5.31,117.0,102.17278966448148
6.07,116.0,96.7962009498883
6.83,116.0,92.93083404824117
7.59,116.0,89.25166252416284
8.35,115.0,85.49776505735407
9.11,115.0,82.47256969901223
9.86,116.0,80.23350908017983
10.64,117.0,78.00003998977522
11.38,117.0,75.84467961527163
12.12,118.0,74.02957778199308
12.86,117.0,72.44123036601752
13.7,116.0,70.6858498030063
14.44,115.0,69.03208256472429
15.18,117.0,67.41765558511032
15.91,116.0,65.99226546624625
16.65,115.0,64.808091676225
17.49,115.0,63.407952575705835
18.23,115.0,62.14165099629458
18.97,114.0,60.83917263173608
19.71,115.0,59.7450006790274
20.45,114.0,58.75089882741535
21.29,116.0,57.69609060316524
22.03,115.0,56.7515059170837
22.76,118.0,55.87727468085662
23.5,115.0,54.961565981775905
