r_kpc,v_obs,v_model
0.45,18.9,86.10632438342859
1.34,58.3,115.28868978140329
2.23,74.1,119.32294519156459
3.12,119.0,136.69020666816434
4.01,141.0,155.8073993036792
4.9,195.0,177.9318721653393
5.79,227.0,201.51356302864815
6.69,246.0,217.99076324364114
7.58,268.0,228.14404324486082
8.47,283.0,241.36170105657044
10.23,291.0,260.23072519798393
12.06,310.0,273.9531743457712
13.44,310.0,276.7301879684711
15.18,310.0,281.1985357326166
16.83,314.0,282.5196176113305
18.56,317.0,276.2296857424731
20.3,319.0,273.39334416512537
21.94,318.0,274.46188022698254
23.68,317.0,273.4738194468343
25.41,317.0,264.59568010774376
27.06,312.0,256.38881388388404
28.8,312.0,246.9170428679731
30.53,311.0,237.53221942364743
32.18,310.0,230.2771781767274
33.91,313.0,223.85848799006757
35.65,320.0,217.32027308014304
37.3,321.0,211.9673799208153
39.03,320.0,206.2801797058213
40.76,315.0,201.02772015397898
42.41,312.0,196.71375767027592
