r_kpc,v_obs,v_model
1.08,34.6,24.861760272346192
1.61,47.0,31.018396255136366
2.15,59.1,34.99306399483534
2.7,64.4,38.722999922070855
3.22,67.4,42.356159558191635
3.77,69.8,45.51141840981311
4.31,71.3,48.25069676399077
4.85,73.2,50.47564040659056
5.38,75.1,52.105149990909155
5.92,78.5,53.722321123353716
6.46,81.4,55.26809447015803
6.99,83.5,56.791761353792914
7.53,87.1,58.42284707163607
8.07,90.7,59.75069423693593
8.62,93.1,61.12631871532451
9.14,95.9,62.50447395119158
9.69,98.4,63.68676931243582
10.23,101.0,64.55672021036122
10.76,103.0,65.13282444785642
11.3,104.0,65.34957270656282
11.84,105.0,65.12383610109659
12.38,105.0,64.59289323464498
12.91,105.0,63.645210070341506
13.48,106.0,62.35969575248447
14.01,108.0,60.999277617740326
14.54,107.0,59.64379000600331
