r_kpc,v_obs,v_model
0.64,12.4,17.25616255996082
1.18,21.9,23.006471244910035
1.8,32.3,28.53060572316554
2.03,37.9,30.347316314940866
2.78,53.1,36.86214269961074
3.0,62.4,38.303875053595974
3.64,68.0,42.6005619803074
4.19,78.0,45.60507218325804
4.6,82.3,46.56004850939887
5.14,85.7,47.724361257861105
5.39,85.5,48.86527669536277
6.31,89.5,52.386194540463805
9.1,95.2,57.713927416443504
10.17,97.5,59.89584192771497
11.99,101.0,61.52979096585939
14.02,107.0,61.86220205061686
15.94,117.0,62.571354712332756
17.98,120.0,62.52964971909388
