galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_ceiling_theory,beta_ceiling_theory_median,beta_ceiling_theory_n_valid,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,use_dimension_proxy,d_eff_proxy,d_eff_ratio,d_eff_g_hat,d_eff_sigma_hat,d_eff_signed_delta,d_eff_response,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_d_ref,formula_dim_sensitivity,formula_dim_g_power,formula_dim_sigma_power,formula_d_min,formula_d_max,formula_dim_response_lambda,formula_dim_transition,formula_dim_response_min,formula_dim_response_max,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
CamB,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\CamB_normalized.csv,formula,,51058230301.990944,33386909105.533077,33386909105.533077,False,False,284705300160.3971,284705300160.3971,1,0.17933712605007981,0.21852715864544348,,,gbar_char_logmean,sigma_char_rms,262.5817073170732,232.41966823803128,0.035075457488867624,0.0,0.10522637246660288,1,True,3.6207719953424444,0.4817548065242466,0.41425024361972157,0.199567045967641,-0.6207719953424444,0.6538986742795745,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,34214.07089790956,11408.521142822023,567.955382913688,0.724846547540466,4682410589.628726,585301323.7035908,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\CamB_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\CamB_rotation_curve.png,ok,
D512-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D512-2_normalized.csv,formula,,66652880899.1409,104403102349.30215,104403102349.30215,False,False,117241187176.14566,132029440046.88777,4,0.5685107981634491,1.317555099278712,,,gbar_char_logmean,sigma_char_rms,206.5490972222222,189.03041345193063,0.6861718336785013,0.6847961949521497,0.6894576223501202,4,True,1.847308187937727,3.881058843407953,0.3369159564577057,1.3075906522954277,1.152691812062273,1.5663704395206093,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,267621.0715806511,267299.33457404847,8501.292211609245,7697.810189893549,24341285864.740017,8113761954.913339,4,4,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\D512-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\D512-2_rotation_curve.png,ok,
D564-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D564-8_normalized.csv,formula,,29054568400.562275,45566425133.630875,45566425133.630875,False,False,90651227173.30399,114986342568.86789,6,0.32050937760629233,0.47169065627013784,,,gbar_char_logmean,sigma_char_rms,70.43799836601308,65.81715615091065,0.7218196110407579,0.7839256224344778,0.7607579426321479,6,True,0.8668864157424498,12.299337427495662,0.1173083722929547,1.4428152539013328,2.13311358425755,1.568305008197921,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,181338.263126862,178194.89215707208,9842.38948069272,9070.99372985257,62739280678.11711,12547856135.623423,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\D564-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\D564-8_rotation_curve.png,ok,
D631-7,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\D631-7_normalized.csv,formula,,40308309361.58019,63202243708.40719,63202243708.40719,False,False,64172441762.798454,86117888003.17572,13,0.6281249124129076,1.6890749968987955,,,gbar_char_logmean,sigma_char_rms,176.89675139275764,177.4202934561785,0.7710903465796488,0.8753884576710766,0.925768354648831,13,True,1.5429187040179957,5.552305735882949,0.3162228065485126,1.7557657026163107,1.4570812959820043,1.567970592402179,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,220714.4302302004,193091.73331219182,3888.1130202256522,4913.6283877569895,142838966907.16968,9522597793.811312,16,16,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\D631-7_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\D631-7_rotation_curve.png,ok,
DDO064,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO064_normalized.csv,formula,,44536820484.948875,64136030444.32601,64136030444.32601,False,True,64136030444.32601,112256887128.08911,14,0.6944118645386006,2.2723783549061105,,,gbar_char_logmean,sigma_char_rms,294.89539265251096,254.48699639190355,0.8253595282890076,0.8006544880299105,0.8507816478538749,14,True,1.9213359981256282,3.557352088669404,0.45358166566794433,1.6135496857460092,1.0786640018743718,1.5653511067336772,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,230044.70518949305,228343.78026767602,10607.386630213152,6264.318095494583,31489237407.416294,2422249031.339715,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\DDO064_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\DDO064_rotation_curve.png,ok,
DDO154,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO154_normalized.csv,formula,,38749924902.97458,60770874809.04967,60770874809.04967,False,False,71071813492.8111,82925130488.11336,12,0.5452221211000072,1.1988756410465238,,,gbar_char_logmean,sigma_char_rms,113.39115958443993,117.12170534208285,0.9623188600224571,1.0838648373187048,1.0191180077627722,12,True,1.1082485651870604,9.258943259572185,0.20875038390221753,1.932807959964543,1.8917514348129396,1.5682836795481037,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,241788.8229655254,235828.5797675425,6326.571373080623,6090.192717298446,6968897732802.371,633536157527.4883,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\DDO154_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\DDO154_rotation_curve.png,ok,
DDO161,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO161_normalized.csv,formula,,50747128258.58624,79349347994.8623,79349347994.8623,False,False,87772228529.89102,137049072215.09476,31,0.5781683923099229,1.3706142018990375,,,gbar_char_logmean,sigma_char_rms,203.02229299363057,210.89414656458226,0.541660166620015,0.6557907793248289,0.6411251773128881,31,True,2.0021177736314497,3.2348387777397423,0.375884503470159,1.215925767776719,0.9978822263685503,1.563622429835459,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,207265.26091365298,190144.53148647025,3759.9116671397383,3967.9044410503507,817980121469.171,27266004048.972366,31,31,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\DDO161_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\DDO161_rotation_curve.png,ok,
DDO168,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO168_normalized.csv,formula,,66424903413.92547,91564611065.18962,91564611065.18962,False,True,91564611065.18962,110362064003.10608,10,0.7254429701736418,2.6422305436230986,,,gbar_char_logmean,sigma_char_rms,349.09260200070753,336.41905162291397,0.6641918097091771,0.8254288600634982,0.7406150898220271,10,True,2.276450944291269,2.3425361873513992,0.5996122236539007,1.404613332287503,0.7235490557087312,1.5462279617095658,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,246566.41264205467,236059.87213753472,5901.900447012018,5543.854547145322,248781542208.69855,27642393578.74428,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\DDO168_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\DDO168_rotation_curve.png,ok,
DDO170,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\DDO170_normalized.csv,formula,,46825042516.62369,73428809066.0142,73428809066.0142,False,False,90131085800.27777,110178752176.97513,8,0.5195215624094853,1.0812588490229917,,,gbar_char_logmean,sigma_char_rms,145.149332915392,133.28663783148613,0.8027832655386988,0.8157746113353302,0.8134158076036729,8,True,1.4097765254324768,6.493821241274076,0.23756174600679492,1.5426835123330818,1.5902234745675232,1.5681525337632258,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,242737.96664539154,241826.05635014226,4816.673953151722,4363.032029530406,352175742719.97095,50310820388.567276,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\DDO170_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\DDO170_rotation_curve.png,ok,
ESO079-G014,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO079-G014_normalized.csv,formula,,144341186204.72397,92126463010.4418,92126463010.4418,False,False,164265004499.86435,215019798794.0494,12,0.8787092944367415,7.244654817993911,,,gbar_char_logmean,sigma_char_rms,1608.9090643776824,1661.706405566926,0.3267909332387804,0.39724501827031933,0.38358550494993704,12,True,4.193337995052636,0.24563046358496107,2.9617213058989855,0.7274889773774241,-1.1933379950526364,0.6382548559617331,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,173388.73187803474,152409.655354496,1359.9828544577279,1257.2032653528495,46321871287.909904,3308705091.9935646,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\ESO079-G014_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\ESO079-G014_rotation_curve.png,ok,
