galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms
NGC2841,1,3.44,6.51,4.975,3.07,0.35,2.02544875488733,282.98789495077904,305.2,9.407,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.0,1.0,0.025448754887329894,0.025448754887329894,0.07812767750410277,1000000.0,3156.594126576714,125.31582413932868,309.4934643387358
NGC2841,2,6.86,9.93,8.395,3.0699999999999994,0.35,2.012785294331137,287.1012252081233,320.4,12.484,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1000000.0,2176.928822055935,135.18623251337237,317.33646335894827
NGC2841,3,10.27,22.51,16.39,12.240000000000002,0.35,2.0054686459590885,255.45435211970735,313.3,7.552,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1000000.0,1141.367179473922,136.77356495894074,289.7653086352419
NGC2841,4,24.59,43.08,33.835,18.49,0.35,2.0022427669919116,173.643980848759,284.1,3.818,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.003225878967176854,0.9906317825164029,0.0054686459590884695,0.005417414494402934,0.40677585629466684,1000000.0,355.3225795676358,109.64642939772803,205.3644846721924
NGC2841,5,45.16,63.64,54.4,18.480000000000004,0.35,2.0012665632435045,139.79052367963587,284.1,5.090000000000001,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.0009762037484071229,0.9971557139423912,0.0022427669919116155,0.002236387921026056,0.44810430507522836,1000000.0,151.4193288667916,90.75908489156038,166.6691393179322
