dataset,rows_read,rows_written,shells_nonempty,median_D_loc,median_lambda_pos,median_Sigma_bg_shell,median_Sigma_shell_total,median_topological_gradient_term_shell,median_coupling_shell_diagnostic,coupling_shell_diagnostic_valid_n
5d,22517,22517,5,2.3171424331600337,0.4030146395426611,-0.6987679611921656,-0.6987679611921657,0.0031709785488165535,-2131152.659424879,5
6d,858,858,3,2.308640635826249,0.49811235065474235,-0.04483418618734847,-0.04483418618734866,0.08550265382387813,2.552888345139816e-10,1
